,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6977,0.7068,0.712,0.697,0.7258,0.6977,0.6995,0.6,0.7925,0.6829,0.8136,0.6316,0.7111,0.7686,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 336, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",71.0,f_classif,336.0,3.0,16.0,1.0,log2,True,,,,,,,,,,
1,RF,2,0.7368,0.7624,0.7244,0.7224,0.7577,0.7368,0.7268,0.8286,0.5472,0.6591,0.6962,0.9016,0.7857,0.8058,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 437, 'clf__max_depth': 9, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': None}",81.0,f_classif,437.0,9.0,14.0,9.0,,True,,,,,,,,,,
2,RF,3,0.633,0.6275,0.6144,0.6127,0.6294,0.633,0.6232,0.6111,0.4583,0.5238,0.6438,0.7705,0.7015,0.6366,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 195, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",40.0,f_classif,195.0,3.0,12.0,2.0,sqrt,False,,,,,,,,,,
3,RF,4,0.752,0.7188,0.7316,0.7237,0.7615,0.752,0.7555,0.6,0.675,0.6353,0.8375,0.7882,0.8121,0.8515,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 361, 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",71.0,f_classif,361.0,3.0,11.0,3.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.6792,0.7114,0.708,0.6791,0.7383,0.6792,0.678,0.5692,0.8605,0.6852,0.8537,0.5556,0.6731,0.8047,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 368, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",20.0,f_classif,368.0,3.0,20.0,7.0,sqrt,False,,,,,,,,,,
5,XGB,1,0.7209,0.7167,0.7232,0.7171,0.7305,0.7209,0.723,0.6393,0.7358,0.6842,0.7941,0.7105,0.75,0.7607,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 333, 'clf__max_depth': 8, 'clf__learning_rate': 0.045402247890655556, 'clf__subsample': 0.8222280638530508, 'clf__colsample_bytree': 0.6892218444490908, 'clf__min_child_weight': 1, 'clf__gamma': 4.492806713225471, 'clf__reg_alpha': 1.464576969456435, 'clf__reg_lambda': 1.6797306074967064}",30.0,f_classif,333.0,8.0,,,,,,0.045402247890655556,0.8222280638530508,0.6892218444490908,1.0,4.492806713225471,1.464576969456435,1.6797306074967064,,
6,XGB,2,0.6842,0.7201,0.6678,0.6572,0.715,0.6842,0.664,0.7931,0.434,0.561,0.6471,0.9016,0.7534,0.8051,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 190, 'clf__max_depth': 11, 'clf__learning_rate': 0.03369894181872223, 'clf__subsample': 0.8705717123754562, 'clf__colsample_bytree': 0.9710803524768133, 'clf__min_child_weight': 4, 'clf__gamma': 3.9681532434135787, 'clf__reg_alpha': 0.3500151657302381, 'clf__reg_lambda': 1.0777825616648582}",71.0,f_classif,190.0,11.0,,,,,,0.03369894181872223,0.8705717123754562,0.9710803524768133,4.0,3.9681532434135787,0.3500151657302381,1.0777825616648582,,
7,XGB,3,0.5872,0.5759,0.5601,0.5482,0.5787,0.5872,0.564,0.5517,0.3333,0.4156,0.6,0.7869,0.6809,0.6334,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 174, 'clf__max_depth': 7, 'clf__learning_rate': 0.06931594309577813, 'clf__subsample': 0.6545763189233783, 'clf__colsample_bytree': 0.8074274082996884, 'clf__min_child_weight': 7, 'clf__gamma': 4.973833239454635, 'clf__reg_alpha': 1.5374211509029534, 'clf__reg_lambda': 0.19314765077514534}",30.0,f_classif,174.0,7.0,,,,,,0.06931594309577813,0.6545763189233783,0.8074274082996884,7.0,4.973833239454635,1.5374211509029534,0.19314765077514534,,
8,XGB,4,0.752,0.7142,0.7051,0.7091,0.7476,0.752,0.7493,0.6216,0.575,0.5974,0.8068,0.8353,0.8208,0.8612,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 237, 'clf__max_depth': 9, 'clf__learning_rate': 0.0466808336822597, 'clf__subsample': 0.8542164074406535, 'clf__colsample_bytree': 0.7253870726787195, 'clf__min_child_weight': 2, 'clf__gamma': 4.655710742345652, 'clf__reg_alpha': 1.9655368883346502, 'clf__reg_lambda': 1.9886242610041722}",30.0,f_classif,237.0,9.0,,,,,,0.0466808336822597,0.8542164074406535,0.7253870726787195,2.0,4.655710742345652,1.9655368883346502,1.9886242610041722,,
9,XGB,5,0.6698,0.6913,0.6927,0.6698,0.7153,0.6698,0.6704,0.5645,0.814,0.6667,0.8182,0.5714,0.6729,0.7804,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 105, 'clf__max_depth': 9, 'clf__learning_rate': 0.06835619580314291, 'clf__subsample': 0.8146679292239098, 'clf__colsample_bytree': 0.9786167796977798, 'clf__min_child_weight': 2, 'clf__gamma': 4.007372747310718, 'clf__reg_alpha': 1.2482467349780886, 'clf__reg_lambda': 1.9567354564958164}",20.0,f_classif,105.0,9.0,,,,,,0.06835619580314291,0.8146679292239098,0.9786167796977798,2.0,4.007372747310718,1.2482467349780886,1.9567354564958164,,
10,DT,1,0.6047,0.6512,0.6388,0.6023,0.676,0.6047,0.5968,0.5116,0.8302,0.6331,0.7907,0.4474,0.5714,0.7404,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",10.0,f_classif,,2.0,16.0,9.0,,,balanced,,,,,,,,gini,random
