,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,60,37,21,80,80,60,37,21,0.7920792079207921,0.6185567010309279,0.6837606837606838,0.7407407407407407
1,RF,2,137,36,34,69,69,137,36,34,0.6699029126213593,0.791907514450867,0.6571428571428571,0.8011695906432749
2,RF,3,116,28,43,55,55,116,28,43,0.5612244897959183,0.8055555555555556,0.6626506024096386,0.7295597484276729
3,RF,4,112,29,30,61,61,112,29,30,0.6703296703296703,0.7943262411347518,0.6777777777777778,0.7887323943661971
4,RF,5,80,38,28,53,53,80,38,28,0.654320987654321,0.6779661016949152,0.5824175824175825,0.7407407407407407
5,XGB,1,61,36,26,75,75,61,36,26,0.7425742574257426,0.6288659793814433,0.6756756756756757,0.7011494252873564
6,XGB,2,137,36,35,68,68,137,36,35,0.6601941747572816,0.791907514450867,0.6538461538461539,0.7965116279069767
7,XGB,3,126,18,56,42,42,126,18,56,0.42857142857142855,0.875,0.7,0.6923076923076923
8,XGB,4,117,24,46,45,45,117,24,46,0.4945054945054945,0.8297872340425532,0.6521739130434783,0.7177914110429447
9,XGB,5,84,34,28,53,53,84,34,28,0.654320987654321,0.711864406779661,0.6091954022988506,0.75
10,DT,1,67,30,38,63,63,67,30,38,0.6237623762376238,0.6907216494845361,0.6774193548387096,0.638095238095238
11,DT,2,92,81,37,66,66,92,81,37,0.6407766990291263,0.5317919075144508,0.4489795918367347,0.7131782945736435
12,DT,3,106,38,52,46,46,106,38,52,0.46938775510204084,0.7361111111111112,0.5476190476190477,0.6708860759493671
13,DT,4,100,41,29,62,62,100,41,29,0.6813186813186813,0.7092198581560284,0.6019417475728155,0.7751937984496124
14,DT,5,69,49,30,51,51,69,49,30,0.6296296296296297,0.5847457627118644,0.51,0.696969696969697
