,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,20,20,f_classif,0.196
1,RF,2,20,20,f_classif,0.196
2,RF,3,71,71,f_classif,0.696
3,RF,4,30,30,f_classif,0.294
4,RF,5,20,20,f_classif,0.196
5,XGB,1,20,20,f_classif,0.196
6,XGB,2,20,20,f_classif,0.196
7,XGB,3,51,51,f_classif,0.5
8,XGB,4,30,30,f_classif,0.294
9,XGB,5,20,20,f_classif,0.196
10,DT,1,51,51,f_classif,0.5
11,DT,2,91,91,f_classif,0.892
12,DT,3,30,30,f_classif,0.294
13,DT,4,81,81,f_classif,0.794
14,DT,5,40,40,f_classif,0.392
