,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.6458,0.4848,1.0,0.32,0.6075,0.7878,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 239, 'clf__max_depth': 5, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.7838,0.75,0.6,1.0,0.7798,0.8433,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 6, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.7097,0.6087,0.4667,0.875,0.689,0.8709,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 306, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
3,RF,4,4,0.7857,0.7857,0.7097,0.88,0.7857,0.8761,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 173, 'clf__max_depth': 4, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
4,RF,5,5,0.6,0.4615,1.0,0.3,0.5717,0.8633,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 418, 'clf__max_depth': 7, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
5,RF,6,6,0.863,0.8,0.7407,0.8696,0.8479,0.9052,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 236, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
6,RF,7,7,0.8913,0.8837,0.8636,0.9048,0.8908,0.9124,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 379, 'clf__max_depth': 4, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
7,RF,8,8,0.6512,0.7059,0.6207,0.8182,0.6387,0.7056,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 392, 'clf__max_depth': 11, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
8,RF,9,9,0.7949,0.8298,0.8125,0.8478,0.7859,0.8804,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 265, 'clf__max_depth': 4, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.7077,0.7077,0.7667,0.6571,0.7077,0.7657,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 120, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
10,RF,11,11,0.5435,0.2222,0.25,0.2,0.4496,0.429,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 289, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
11,RF,12,12,0.4304,0.2857,0.2903,0.2812,0.406,0.3298,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 109, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
12,RF,13,13,0.62,0.5366,0.5238,0.55,0.6073,0.6517,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 347, 'clf__max_depth': 3, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
13,RF,14,14,0.7143,0.64,1.0,0.4706,0.7016,0.7779,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 332, 'clf__max_depth': 4, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
14,RF,15,15,0.8,0.8636,1.0,0.76,0.7443,0.944,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 485, 'clf__max_depth': 6, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
15,RF,16,16,0.6667,0.7451,0.7917,0.7037,0.6318,0.8117,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 359, 'clf__max_depth': 5, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
16,RF,17,17,0.55,0.55,0.55,0.55,0.55,0.57,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 71, 'clf__max_depth': 4, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
17,RF,18,18,0.8261,0.6923,0.5455,0.9474,0.7855,0.8717,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 118, 'clf__max_depth': 9, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
