,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,53,1,36,26,26,53,1,36,0.41935483870967744,0.9814814814814815,0.9629629629629629,0.5955056179775281
1,RF,2,2,38,21,1,29,29,38,21,1,0.9666666666666667,0.6440677966101694,0.58,0.9743589743589743
2,RF,3,3,93,18,12,29,29,93,18,12,0.7073170731707317,0.8378378378378378,0.6170212765957447,0.8857142857142857
3,RF,4,4,54,17,6,59,59,54,17,6,0.9076923076923077,0.7605633802816901,0.7763157894736842,0.9
4,RF,5,5,29,6,31,18,18,29,6,31,0.3673469387755102,0.8285714285714286,0.75,0.48333333333333334
5,RF,6,6,101,21,6,50,50,101,21,6,0.8928571428571429,0.8278688524590164,0.704225352112676,0.9439252336448598
6,RF,7,7,52,7,7,45,45,52,7,7,0.8653846153846154,0.8813559322033898,0.8653846153846154,0.8813559322033898
7,RF,8,8,33,17,18,37,37,33,17,18,0.6727272727272727,0.66,0.6851851851851852,0.6470588235294118
8,RF,9,9,63,16,8,106,106,63,16,8,0.9298245614035088,0.7974683544303798,0.8688524590163934,0.8873239436619719
9,RF,10,10,63,10,43,43,43,63,10,43,0.5,0.863013698630137,0.8113207547169812,0.5943396226415094
10,RF,11,11,91,59,60,17,17,91,59,60,0.22077922077922077,0.6066666666666667,0.2236842105263158,0.6026490066225165
11,RF,12,12,27,88,48,32,32,27,88,48,0.4,0.23478260869565218,0.26666666666666666,0.36
12,RF,13,13,59,13,29,21,21,59,13,29,0.42,0.8194444444444444,0.6176470588235294,0.6704545454545454
13,RF,14,14,59,8,44,42,42,59,8,44,0.4883720930232558,0.8805970149253731,0.84,0.5728155339805825
14,RF,15,15,11,0,16,46,46,11,0,16,0.7419354838709677,1.0,1.0,0.4074074074074074
15,RF,16,16,18,11,6,60,60,18,11,6,0.9090909090909091,0.6206896551724138,0.8450704225352113,0.75
16,RF,17,17,24,24,8,41,41,24,24,8,0.8367346938775511,0.5,0.6307692307692307,0.75
17,RF,18,18,144,36,0,48,48,144,36,0,1.0,0.8,0.5714285714285714,1.0
18,RF,19,19,44,20,0,21,21,44,20,0,1.0,0.6875,0.5121951219512195,1.0
19,RF,20,20,28,16,22,16,16,28,16,22,0.42105263157894735,0.6363636363636364,0.5,0.56
