,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,1,11,1,4,8,8,11,1,4,0.6666666666666666,0.9166666666666666,0.8888888888888888,0.7333333333333333
1,RF,2,2,7,5,0,6,6,7,5,0,1.0,0.5833333333333334,0.5454545454545454,1.0
2,RF,3,3,18,5,3,5,5,18,5,3,0.625,0.782608695652174,0.5,0.8571428571428571
3,RF,4,4,10,5,1,12,12,10,5,1,0.9230769230769231,0.6666666666666666,0.7058823529411765,0.9090909090909091
4,RF,5,5,6,2,5,4,4,6,2,5,0.4444444444444444,0.75,0.6666666666666666,0.5454545454545454
5,RF,6,6,22,3,6,5,5,22,3,6,0.45454545454545453,0.88,0.625,0.7857142857142857
6,RF,7,7,11,2,1,9,9,11,2,1,0.9,0.8461538461538461,0.8181818181818182,0.9166666666666666
7,RF,8,8,5,5,2,9,9,5,5,2,0.8181818181818182,0.5,0.6428571428571429,0.7142857142857143
8,RF,9,9,12,5,5,17,17,12,5,5,0.7727272727272727,0.7058823529411765,0.7727272727272727,0.7058823529411765
9,RF,10,10,12,3,6,11,11,12,3,6,0.6470588235294118,0.8,0.7857142857142857,0.6666666666666666
10,RF,11,11,19,11,13,3,3,19,11,13,0.1875,0.6333333333333333,0.21428571428571427,0.59375
11,RF,12,12,7,16,12,4,4,7,16,12,0.25,0.30434782608695654,0.2,0.3684210526315789
12,RF,13,13,12,3,6,4,4,12,3,6,0.4,0.8,0.5714285714285714,0.6666666666666666
13,RF,14,14,13,0,15,3,3,13,0,15,0.16666666666666666,1.0,1.0,0.4642857142857143
14,RF,15,15,3,0,3,9,9,3,0,3,0.75,1.0,1.0,0.5
15,RF,16,16,3,3,1,12,12,3,3,1,0.9230769230769231,0.5,0.8,0.75
16,RF,17,17,5,5,3,7,7,5,5,3,0.7,0.5,0.5833333333333334,0.625
17,RF,18,18,30,6,0,10,10,30,6,0,1.0,0.8333333333333334,0.625,1.0
18,RF,19,19,7,5,0,5,5,7,5,0,1.0,0.5833333333333334,0.5,1.0
19,RF,20,20,9,0,7,1,1,9,0,7,0.125,1.0,1.0,0.5625
20,RF,21,21,6,5,0,7,7,6,5,0,1.0,0.5454545454545454,0.5833333333333334,1.0
21,RF,22,22,20,13,0,7,7,20,13,0,1.0,0.6060606060606061,0.35,1.0
22,RF,23,23,6,1,1,16,16,6,1,1,0.9411764705882353,0.8571428571428571,0.9411764705882353,0.8571428571428571
23,RF,24,24,12,8,1,8,8,12,8,1,0.8888888888888888,0.6,0.5,0.9230769230769231
24,RF,25,25,22,0,13,5,5,22,0,13,0.2777777777777778,1.0,1.0,0.6285714285714286
25,RF,26,26,24,3,4,2,2,24,3,4,0.3333333333333333,0.8888888888888888,0.4,0.8571428571428571
26,RF,27,27,35,18,0,14,14,35,18,0,1.0,0.660377358490566,0.4375,1.0
27,RF,28,28,8,1,2,11,11,8,1,2,0.8461538461538461,0.8888888888888888,0.9166666666666666,0.8
28,RF,29,29,7,1,3,7,7,7,1,3,0.7,0.875,0.875,0.7
29,RF,30,30,5,0,11,8,8,5,0,11,0.42105263157894735,1.0,1.0,0.3125
30,RF,31,31,12,6,2,5,5,12,6,2,0.7142857142857143,0.6666666666666666,0.45454545454545453,0.8571428571428571
31,RF,32,32,6,4,0,4,4,6,4,0,1.0,0.6,0.5,1.0
32,RF,33,33,8,6,9,0,0,8,6,9,0.0,0.5714285714285714,0.0,0.47058823529411764
33,RF,34,34,13,3,0,3,3,13,3,0,1.0,0.8125,0.5,1.0
34,RF,35,35,7,0,22,2,2,7,0,22,0.08333333333333333,1.0,1.0,0.2413793103448276
35,RF,36,36,7,10,0,12,12,7,10,0,1.0,0.4117647058823529,0.5454545454545454,1.0
36,RF,37,37,6,13,0,14,14,6,13,0,1.0,0.3157894736842105,0.5185185185185185,1.0
37,RF,38,38,6,2,0,13,13,6,2,0,1.0,0.75,0.8666666666666667,1.0
38,RF,39,39,4,2,2,10,10,4,2,2,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666
39,RF,40,40,79,7,3,7,7,79,7,3,0.7,0.9186046511627907,0.5,0.9634146341463414
40,RF,41,41,4,5,1,10,10,4,5,1,0.9090909090909091,0.4444444444444444,0.6666666666666666,0.8
41,XGB,1,1,11,1,7,5,5,11,1,7,0.4166666666666667,0.9166666666666666,0.8333333333333334,0.6111111111111112
42,XGB,2,2,7,5,0,6,6,7,5,0,1.0,0.5833333333333334,0.5454545454545454,1.0
43,XGB,3,3,18,5,3,5,5,18,5,3,0.625,0.782608695652174,0.5,0.8571428571428571
44,XGB,4,4,10,5,1,12,12,10,5,1,0.9230769230769231,0.6666666666666666,0.7058823529411765,0.9090909090909091
45,XGB,5,5,6,2,5,4,4,6,2,5,0.4444444444444444,0.75,0.6666666666666666,0.5454545454545454
