,Model,Fold,Test_Experiment,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,1,20,20,f_classif,0.196
1,RF,2,2,20,20,f_classif,0.196
2,RF,3,3,30,30,f_classif,0.294
3,RF,4,4,71,71,f_classif,0.696
4,RF,5,5,20,20,f_classif,0.196
5,RF,6,6,40,40,f_classif,0.392
6,RF,7,7,71,71,f_classif,0.696
7,RF,8,8,71,71,f_classif,0.696
8,RF,9,9,71,71,f_classif,0.696
9,RF,10,10,81,81,f_classif,0.794
10,RF,11,11,20,20,f_classif,0.196
11,RF,12,12,20,20,f_classif,0.196
12,RF,13,13,20,20,f_classif,0.196
13,RF,14,14,30,30,f_classif,0.294
14,RF,15,15,30,30,f_classif,0.294
15,RF,16,16,71,71,f_classif,0.696
16,RF,17,17,30,30,f_classif,0.294
17,RF,18,18,71,71,f_classif,0.696
18,RF,19,19,81,81,f_classif,0.794
19,RF,20,20,30,30,f_classif,0.294
20,RF,21,21,20,20,f_classif,0.196
21,RF,22,22,71,71,f_classif,0.696
22,RF,23,23,20,20,f_classif,0.196
23,RF,24,24,30,30,f_classif,0.294
24,RF,25,25,30,30,f_classif,0.294
25,RF,26,26,51,51,f_classif,0.5
26,RF,27,27,20,20,f_classif,0.196
27,RF,28,28,30,30,f_classif,0.294
28,RF,29,29,10,10,f_classif,0.098
29,RF,30,30,20,20,f_classif,0.196
30,RF,31,31,91,91,f_classif,0.892
31,RF,32,32,20,20,f_classif,0.196
32,RF,33,33,20,20,f_classif,0.196
33,RF,34,34,20,20,f_classif,0.196
34,RF,35,35,all,102,f_classif,1.0
35,RF,36,36,10,10,f_classif,0.098
36,RF,37,37,10,10,f_classif,0.098
37,RF,38,38,91,91,f_classif,0.892
38,RF,39,39,20,20,f_classif,0.196
39,RF,40,40,all,102,f_classif,1.0
40,RF,41,41,20,20,f_classif,0.196
41,XGB,1,1,40,40,f_classif,0.392
42,XGB,2,2,30,30,f_classif,0.294
43,XGB,3,3,40,40,f_classif,0.392
44,XGB,4,4,40,40,f_classif,0.392
45,XGB,5,5,10,10,f_classif,0.098
46,XGB,6,6,40,40,f_classif,0.392
47,XGB,7,7,10,10,f_classif,0.098
48,XGB,8,8,10,10,f_classif,0.098
49,XGB,9,9,51,51,f_classif,0.5
50,XGB,10,10,40,40,f_classif,0.392
51,XGB,11,11,10,10,f_classif,0.098
52,XGB,12,12,30,30,f_classif,0.294
53,XGB,13,13,10,10,f_classif,0.098
54,XGB,14,14,10,10,f_classif,0.098
55,XGB,15,15,10,10,f_classif,0.098
56,XGB,16,16,40,40,f_classif,0.392
57,XGB,17,17,30,30,f_classif,0.294
58,XGB,18,18,10,10,f_classif,0.098
59,XGB,19,19,40,40,f_classif,0.392
60,XGB,20,20,40,40,f_classif,0.392
61,XGB,21,21,20,20,f_classif,0.196
62,XGB,22,22,30,30,f_classif,0.294
63,XGB,23,23,all,102,f_classif,1.0
64,XGB,24,24,20,20,f_classif,0.196
65,XGB,25,25,20,20,f_classif,0.196
66,XGB,26,26,71,71,f_classif,0.696
67,XGB,27,27,10,10,f_classif,0.098
68,XGB,28,28,10,10,f_classif,0.098
69,XGB,29,29,10,10,f_classif,0.098
70,XGB,30,30,10,10,f_classif,0.098
71,XGB,31,31,10,10,f_classif,0.098
72,XGB,32,32,10,10,f_classif,0.098
73,XGB,33,33,20,20,f_classif,0.196
74,XGB,34,34,30,30,f_classif,0.294
75,XGB,35,35,51,51,f_classif,0.5
76,XGB,36,36,10,10,f_classif,0.098
77,XGB,37,37,10,10,f_classif,0.098
78,XGB,38,38,51,51,f_classif,0.5
79,XGB,39,39,30,30,f_classif,0.294
80,XGB,40,40,10,10,f_classif,0.098
81,XGB,41,41,10,10,f_classif,0.098
82,DT,1,1,20,20,f_classif,0.196
83,DT,2,2,40,40,f_classif,0.392
84,DT,3,3,30,30,f_classif,0.294
85,DT,4,4,10,10,f_classif,0.098
86,DT,5,5,40,40,f_classif,0.392
87,DT,6,6,91,91,f_classif,0.892
88,DT,7,7,40,40,f_classif,0.392
89,DT,8,8,71,71,f_classif,0.696
90,DT,9,9,30,30,f_classif,0.294
91,DT,10,10,20,20,f_classif,0.196
92,DT,11,11,40,40,f_classif,0.392
93,DT,12,12,71,71,f_classif,0.696
94,DT,13,13,91,91,f_classif,0.892
95,DT,14,14,10,10,f_classif,0.098
96,DT,15,15,40,40,f_classif,0.392
97,DT,16,16,30,30,f_classif,0.294
98,DT,17,17,51,51,f_classif,0.5
99,DT,18,18,30,30,f_classif,0.294
100,DT,19,19,71,71,f_classif,0.696
101,DT,20,20,20,20,f_classif,0.196
102,DT,21,21,20,20,f_classif,0.196
103,DT,22,22,20,20,f_classif,0.196
104,DT,23,23,40,40,f_classif,0.392
105,DT,24,24,51,51,f_classif,0.5
106,DT,25,25,91,91,f_classif,0.892
107,DT,26,26,51,51,f_classif,0.5
108,DT,27,27,91,91,f_classif,0.892
109,DT,28,28,20,20,f_classif,0.196
110,DT,29,29,30,30,f_classif,0.294
111,DT,30,30,51,51,f_classif,0.5
112,DT,31,31,10,10,f_classif,0.098
113,DT,32,32,10,10,f_classif,0.098
114,DT,33,33,40,40,f_classif,0.392
115,DT,34,34,40,40,f_classif,0.392
116,DT,35,35,51,51,f_classif,0.5
117,DT,36,36,20,20,f_classif,0.196
118,DT,37,37,10,10,f_classif,0.098
119,DT,38,38,71,71,f_classif,0.696
120,DT,39,39,30,30,f_classif,0.294
121,DT,40,40,all,102,f_classif,1.0
122,DT,41,41,20,20,f_classif,0.196
