,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.7391,0.6667,1.0,0.5,0.7262,0.7879,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 434, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.7059,0.6667,0.5,1.0,0.7018,0.9833,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 408, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
2,RF,3,3,0.7333,0.5,0.5,0.5,0.6591,0.858,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
3,RF,4,4,0.8889,0.8966,0.8125,1.0,0.8883,0.8846,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 214, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
4,RF,5,5,0.5625,0.5333,0.8,0.4,0.5608,0.8167,10,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 421, 'clf__max_depth': 4, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
5,RF,6,6,0.7143,0.375,0.6,0.2727,0.5949,0.9015,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 232, 'clf__max_depth': 12, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
6,RF,7,7,0.8636,0.8421,0.8889,0.8,0.8611,0.9125,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 89, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
7,RF,8,8,0.65,0.6957,0.6154,0.8,0.6419,0.77,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 455, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
8,RF,9,9,0.8947,0.9167,0.88,0.9565,0.8869,0.9304,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 357, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.7742,0.8108,0.75,0.8824,0.7654,0.8319,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 102, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
