,Model,Fold,Test_Experiment,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,1,20,20,f_classif,0.196
1,RF,2,2,40,40,f_classif,0.392
2,RF,3,3,all,102,f_classif,1.0
3,RF,4,4,all,102,f_classif,1.0
4,RF,5,5,all,102,f_classif,1.0
5,RF,6,6,all,102,f_classif,1.0
6,RF,7,7,20,20,f_classif,0.196
7,RF,8,8,all,102,f_classif,1.0
8,RF,9,9,91,91,f_classif,0.892
9,RF,10,10,all,102,f_classif,1.0
10,RF,11,11,91,91,f_classif,0.892
11,RF,12,12,20,20,f_classif,0.196
12,RF,13,13,81,81,f_classif,0.794
13,RF,14,14,91,91,f_classif,0.892
14,RF,15,15,20,20,f_classif,0.196
15,RF,16,16,30,30,f_classif,0.294
16,RF,17,17,40,40,f_classif,0.392
17,RF,18,18,20,20,f_classif,0.196
18,RF,19,19,51,51,f_classif,0.5
19,RF,20,20,40,40,f_classif,0.392
20,RF,21,21,51,51,f_classif,0.5
21,RF,22,22,81,81,f_classif,0.794
22,RF,23,23,30,30,f_classif,0.294
23,RF,24,24,all,102,f_classif,1.0
24,RF,25,25,30,30,f_classif,0.294
25,RF,26,26,20,20,f_classif,0.196
26,RF,27,27,91,91,f_classif,0.892
27,RF,28,28,81,81,f_classif,0.794
28,RF,29,29,all,102,f_classif,1.0
29,RF,30,30,51,51,f_classif,0.5
30,RF,31,31,20,20,f_classif,0.196
31,RF,32,32,40,40,f_classif,0.392
32,RF,33,33,all,102,f_classif,1.0
33,RF,34,34,10,10,f_classif,0.098
34,RF,35,35,51,51,f_classif,0.5
35,RF,36,36,91,91,f_classif,0.892
36,RF,37,37,all,102,f_classif,1.0
37,RF,38,38,all,102,f_classif,1.0
38,RF,39,39,all,102,f_classif,1.0
39,RF,40,40,20,20,f_classif,0.196
40,RF,41,41,10,10,f_classif,0.098
41,XGB,1,1,10,10,f_classif,0.098
42,XGB,2,2,all,102,f_classif,1.0
43,XGB,3,3,20,20,f_classif,0.196
44,XGB,4,4,51,51,f_classif,0.5
45,XGB,5,5,30,30,f_classif,0.294
46,XGB,6,6,30,30,f_classif,0.294
47,XGB,7,7,10,10,f_classif,0.098
48,XGB,8,8,10,10,f_classif,0.098
49,XGB,9,9,20,20,f_classif,0.196
50,XGB,10,10,20,20,f_classif,0.196
51,XGB,11,11,all,102,f_classif,1.0
52,XGB,12,12,71,71,f_classif,0.696
53,XGB,13,13,91,91,f_classif,0.892
54,XGB,14,14,20,20,f_classif,0.196
55,XGB,15,15,20,20,f_classif,0.196
56,XGB,16,16,91,91,f_classif,0.892
57,XGB,17,17,30,30,f_classif,0.294
58,XGB,18,18,20,20,f_classif,0.196
59,XGB,19,19,20,20,f_classif,0.196
60,XGB,20,20,91,91,f_classif,0.892
61,XGB,21,21,all,102,f_classif,1.0
62,XGB,22,22,10,10,f_classif,0.098
63,XGB,23,23,51,51,f_classif,0.5
64,XGB,24,24,81,81,f_classif,0.794
65,XGB,25,25,40,40,f_classif,0.392
66,XGB,26,26,20,20,f_classif,0.196
67,XGB,27,27,10,10,f_classif,0.098
68,XGB,28,28,20,20,f_classif,0.196
69,XGB,29,29,10,10,f_classif,0.098
70,XGB,30,30,30,30,f_classif,0.294
71,XGB,31,31,20,20,f_classif,0.196
72,XGB,32,32,20,20,f_classif,0.196
73,XGB,33,33,71,71,f_classif,0.696
74,XGB,34,34,10,10,f_classif,0.098
75,XGB,35,35,30,30,f_classif,0.294
76,XGB,36,36,81,81,f_classif,0.794
77,XGB,37,37,40,40,f_classif,0.392
78,XGB,38,38,10,10,f_classif,0.098
79,XGB,39,39,40,40,f_classif,0.392
80,XGB,40,40,20,20,f_classif,0.196
81,XGB,41,41,10,10,f_classif,0.098
82,DT,1,1,51,51,f_classif,0.5
83,DT,2,2,30,30,f_classif,0.294
84,DT,3,3,30,30,f_classif,0.294
85,DT,4,4,91,91,f_classif,0.892
86,DT,5,5,all,102,f_classif,1.0
87,DT,6,6,10,10,f_classif,0.098
88,DT,7,7,10,10,f_classif,0.098
89,DT,8,8,10,10,f_classif,0.098
90,DT,9,9,51,51,f_classif,0.5
91,DT,10,10,30,30,f_classif,0.294
92,DT,11,11,10,10,f_classif,0.098
93,DT,12,12,81,81,f_classif,0.794
94,DT,13,13,10,10,f_classif,0.098
95,DT,14,14,all,102,f_classif,1.0
96,DT,15,15,10,10,f_classif,0.098
97,DT,16,16,91,91,f_classif,0.892
98,DT,17,17,30,30,f_classif,0.294
99,DT,18,18,71,71,f_classif,0.696
100,DT,19,19,30,30,f_classif,0.294
101,DT,20,20,30,30,f_classif,0.294
102,DT,21,21,71,71,f_classif,0.696
103,DT,22,22,81,81,f_classif,0.794
104,DT,23,23,10,10,f_classif,0.098
105,DT,24,24,10,10,f_classif,0.098
106,DT,25,25,10,10,f_classif,0.098
107,DT,26,26,10,10,f_classif,0.098
108,DT,27,27,30,30,f_classif,0.294
109,DT,28,28,51,51,f_classif,0.5
110,DT,29,29,30,30,f_classif,0.294
111,DT,30,30,51,51,f_classif,0.5
112,DT,31,31,30,30,f_classif,0.294
113,DT,32,32,20,20,f_classif,0.196
114,DT,33,33,81,81,f_classif,0.794
115,DT,34,34,10,10,f_classif,0.098
116,DT,35,35,51,51,f_classif,0.5
117,DT,36,36,81,81,f_classif,0.794
118,DT,37,37,81,81,f_classif,0.794
119,DT,38,38,71,71,f_classif,0.696
120,DT,39,39,30,30,f_classif,0.294
121,DT,40,40,81,81,f_classif,0.794
122,DT,41,41,30,30,f_classif,0.294
