,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6345,0.5933,0.5374,0.5436,0.6158,0.6345,0.602,"{'n_estimators': 226, 'max_depth': 3, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}",226.0,3.0,13.0,2.0,,True,,,,,,,,,
1,RF,2,0.4982,0.4671,0.4858,0.4259,0.4868,0.4982,0.4445,"{'n_estimators': 449, 'max_depth': 6, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",449.0,6.0,20.0,4.0,log2,True,,,,,,,,,
2,RF,3,0.5217,0.4927,0.5175,0.4261,0.5016,0.5217,0.4428,"{'n_estimators': 90, 'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 'log2', 'bootstrap': True}",90.0,6.0,9.0,8.0,log2,True,,,,,,,,,
3,RF,4,0.3808,0.3846,0.322,0.3284,0.4412,0.3808,0.394,"{'n_estimators': 439, 'max_depth': 6, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True}",439.0,6.0,13.0,5.0,log2,True,,,,,,,,,
4,RF,5,0.5742,0.5923,0.5927,0.563,0.6598,0.5742,0.5891,"{'n_estimators': 374, 'max_depth': 12, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': False}",374.0,12.0,19.0,3.0,log2,False,,,,,,,,,
5,XGB,1,0.6236,0.5918,0.5424,0.5557,0.6062,0.6236,0.6038,"{'n_estimators': 428, 'max_depth': 3, 'learning_rate': 0.010127318612027557, 'subsample': 0.7537475586472419, 'colsample_bytree': 0.9479153819474428, 'min_child_weight': 10, 'gamma': 2.506217433819222, 'reg_alpha': 1.9904532499372694, 'reg_lambda': 1.4563421553819018}",428.0,3.0,,,,,0.010127318612027557,0.7537475586472419,0.9479153819474428,10.0,2.506217433819222,1.9904532499372694,1.4563421553819018,,
6,XGB,2,0.5143,0.5302,0.5098,0.4961,0.5473,0.5143,0.509,"{'n_estimators': 402, 'max_depth': 7, 'learning_rate': 0.03530767652003509, 'subsample': 0.6008105134576361, 'colsample_bytree': 0.7469515548880064, 'min_child_weight': 7, 'gamma': 4.137794092123723, 'reg_alpha': 0.7999613987674294, 'reg_lambda': 1.2907230771815728}",402.0,7.0,,,,,0.03530767652003509,0.6008105134576361,0.7469515548880064,7.0,4.137794092123723,0.7999613987674294,1.2907230771815728,,
7,XGB,3,0.5515,0.5364,0.5512,0.4998,0.5412,0.5515,0.5079,"{'n_estimators': 261, 'max_depth': 6, 'learning_rate': 0.09365098199228716, 'subsample': 0.691349955697369, 'colsample_bytree': 0.7875969541010543, 'min_child_weight': 9, 'gamma': 3.5062604742539785, 'reg_alpha': 0.6425556184967697, 'reg_lambda': 0.4367929751960342}",261.0,6.0,,,,,0.09365098199228716,0.691349955697369,0.7875969541010543,9.0,3.5062604742539785,0.6425556184967697,0.4367929751960342,,
8,XGB,4,0.4288,0.3766,0.3558,0.3618,0.4469,0.4288,0.4349,"{'n_estimators': 94, 'max_depth': 4, 'learning_rate': 0.010573471061378526, 'subsample': 0.6323068588040595, 'colsample_bytree': 0.8044871195637164, 'min_child_weight': 3, 'gamma': 1.2231788707386442, 'reg_alpha': 1.302846240774089, 'reg_lambda': 0.39708427506349797}",94.0,4.0,,,,,0.010573471061378526,0.6323068588040595,0.8044871195637164,3.0,1.2231788707386442,1.302846240774089,0.39708427506349797,,
9,XGB,5,0.5449,0.5585,0.5665,0.5382,0.612,0.5449,0.559,"{'n_estimators': 218, 'max_depth': 12, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'min_child_weight': 2, 'gamma': 0.2904180608409973, 'reg_alpha': 1.7323522915498704, 'reg_lambda': 1.2022300234864176}",218.0,12.0,,,,,0.1205712628744377,0.8394633936788146,0.6624074561769746,2.0,0.2904180608409973,1.7323522915498704,1.2022300234864176,,
