,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.6304,221.0,12.0,14.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.4632,417.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,
2,RF,3,0.5138,492.0,11.0,9.0,1.0,log2,True,,,,,,,,,
3,RF,4,0.512,393.0,17.0,20.0,4.0,,True,,,,,,,,,
4,RF,5,0.5821,433.0,4.0,19.0,9.0,sqrt,False,,,,,,,,,
5,XGB,1,0.5598,180.0,10.0,,,,,0.015233612670782843,0.9214559800640258,0.9722440912021869,3.0,1.1121256548618703,1.8313538122824822,0.9797842570138702,,
6,XGB,2,0.4632,69.0,8.0,,,,,0.06833657398708072,0.65665396067864,0.943909336678787,2.0,4.94197421929854,1.6085758038676226,1.3736055776618834,,
7,XGB,3,0.5275,348.0,6.0,,,,,0.05550577422563183,0.6166956590852573,0.6942778339945374,10.0,4.971509633507085,1.7359960620592725,1.3334558004677155,,
8,XGB,4,0.5598,151.0,9.0,,,,,0.02728562852243899,0.6412428239063799,0.8116705270961978,6.0,1.8359414022677574,0.16881639613153465,1.7830048238542007,,
9,XGB,5,0.5648,479.0,3.0,,,,,0.023291250516610774,0.764073074905895,0.8238607514175271,7.0,0.015987224077972664,1.2199512444217497,0.01339498393609767,,
10,DT,1,0.5707,,2.0,20.0,4.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.4474,,2.0,19.0,9.0,log2,,,,,,,,,gini,random
12,DT,3,0.4679,,1.0,10.0,8.0,sqrt,,,,,,,,,gini,random
13,DT,4,0.4833,,5.0,10.0,3.0,log2,,,,,,,,,gini,best
14,DT,5,0.4265,,3.0,11.0,4.0,sqrt,,,,,,,,,gini,random
15,RF,MEAN,0.5403,,,,,,,,,,,,,,,
16,RF,STD,0.0589,,,,,,,,,,,,,,,
17,XGB,MEAN,0.535,,,,,,,,,,,,,,,
18,XGB,STD,0.0383,,,,,,,,,,,,,,,
19,DT,MEAN,0.4791,,,,,,,,,,,,,,,
20,DT,STD,0.0496,,,,,,,,,,,,,,,
