,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.5913,102.0,5.0,19.0,10.0,log2,True,,,,,,,,,
1,RF,2,0.6271,55.0,16.0,8.0,8.0,sqrt,False,,,,,,,,,
2,RF,3,0.5,331.0,8.0,3.0,4.0,log2,True,,,,,,,,,
3,RF,4,0.5467,472.0,17.0,20.0,1.0,,True,,,,,,,,,
4,RF,5,0.5476,405.0,16.0,10.0,10.0,,True,,,,,,,,,
5,XGB,1,0.5217,203.0,6.0,,,,,0.05005636658616733,0.8595849191581006,0.8754006721464518,5.0,2.0925356017185552,0.18888932984770254,1.2234389914537056,,
6,XGB,2,0.6356,375.0,5.0,,,,,0.02225271799252283,0.790874030610963,0.7745290516692026,1.0,2.2401316546181698,1.1605239304440076,0.9927726442508527,,
7,XGB,3,0.473,363.0,9.0,,,,,0.08260003363683983,0.6317480421952422,0.7845142032979281,7.0,3.028124872255257,1.1136525615972628,0.5926613669460602,,
8,XGB,4,0.5467,412.0,6.0,,,,,0.02421454560691446,0.8776549499777916,0.7519253678985536,1.0,4.413156123134297,1.2586723866043243,1.1251069263526976,,
9,XGB,5,0.5556,458.0,8.0,,,,,0.010852629417348814,0.9801775883943734,0.935357770877663,8.0,1.4533616098967208,1.0911807106208806,1.8454953373074656,,
10,DT,1,0.4522,,9.0,10.0,8.0,log2,,,,,,,,,entropy,random
11,DT,2,0.6017,,13.0,2.0,5.0,log2,,,,,,,,,gini,best
12,DT,3,0.4865,,3.0,5.0,1.0,sqrt,,,,,,,,,gini,best
13,DT,4,0.46,,6.0,9.0,9.0,log2,,,,,,,,,gini,random
14,DT,5,0.5317,,13.0,12.0,9.0,,,,,,,,,,gini,random
15,RF,MEAN,0.5625,,,,,,,,,,,,,,,
16,RF,STD,0.0433,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5465,,,,,,,,,,,,,,,
18,XGB,STD,0.053,,,,,,,,,,,,,,,
19,DT,MEAN,0.5064,,,,,,,,,,,,,,,
20,DT,STD,0.0552,,,,,,,,,,,,,,,
