,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7797,0.7619,0.7757,0.7665,0.7893,0.7797,0.7825,0.6667,0.7619,0.7111,0.8571,0.7895,0.8219,"{'n_estimators': 100, 'max_depth': 4, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}",100.0,4.0,12.0,2.0,log2,True,,,,,,,,,
1,RF,2,0.7596,0.7578,0.7486,0.7513,0.7589,0.7596,0.7574,0.75,0.6667,0.7059,0.7656,0.8305,0.7967,"{'n_estimators': 223, 'max_depth': 13, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}",223.0,13.0,20.0,4.0,,True,,,,,,,,,
2,RF,3,0.6824,0.6782,0.6582,0.6595,0.6799,0.6824,0.673,0.6667,0.5,0.5714,0.6897,0.8163,0.7477,"{'n_estimators': 376, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': False}",376.0,3.0,5.0,7.0,sqrt,False,,,,,,,,,
3,RF,4,0.5455,0.5561,0.553,0.5417,0.5588,0.5455,0.5391,0.6,0.4286,0.5,0.5122,0.6774,0.5833,"{'n_estimators': 458, 'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",458.0,11.0,8.0,4.0,log2,True,,,,,,,,,
4,RF,5,0.7935,0.8173,0.839,0.7923,0.8689,0.7935,0.7967,0.6346,1.0,0.7765,1.0,0.678,0.8081,"{'n_estimators': 435, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",435.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
5,XGB,1,0.7797,0.7615,0.7491,0.7542,0.7762,0.7797,0.777,0.7105,0.6429,0.675,0.8125,0.8553,0.8333,"{'n_estimators': 484, 'max_depth': 8, 'learning_rate': 0.01980745776609054, 'subsample': 0.9986738459939086, 'colsample_bytree': 0.8212713156959469, 'min_child_weight': 6, 'gamma': 4.5343687078629396, 'reg_alpha': 1.1510985611864628, 'reg_lambda': 1.3363971375574248}",484.0,8.0,,,,,0.01980745776609054,0.9986738459939086,0.8212713156959469,6.0,4.5343687078629396,1.1510985611864628,1.3363971375574248,,
6,XGB,2,0.7115,0.7096,0.6957,0.698,0.7105,0.7115,0.7066,0.7027,0.5778,0.6341,0.7164,0.8136,0.7619,"{'n_estimators': 210, 'max_depth': 5, 'learning_rate': 0.06333268775321842, 'subsample': 0.6563696899899051, 'colsample_bytree': 0.9208787923016158, 'min_child_weight': 1, 'gamma': 4.9344346830025865, 'reg_alpha': 1.5444895385933148, 'reg_lambda': 0.3974313630683448}",210.0,5.0,,,,,0.06333268775321842,0.6563696899899051,0.9208787923016158,1.0,4.9344346830025865,1.5444895385933148,0.3974313630683448,,
7,XGB,3,0.6824,0.6758,0.6618,0.6637,0.679,0.6824,0.6758,0.6552,0.5278,0.5846,0.6964,0.7959,0.7429,"{'n_estimators': 392, 'max_depth': 12, 'learning_rate': 0.025821988338135073, 'subsample': 0.6723548825969252, 'colsample_bytree': 0.7306136349663493, 'min_child_weight': 1, 'gamma': 4.71689757492779, 'reg_alpha': 1.87024476301938, 'reg_lambda': 0.11211254675572382}",392.0,12.0,,,,,0.025821988338135073,0.6723548825969252,0.7306136349663493,1.0,4.71689757492779,1.87024476301938,0.11211254675572382,,
8,XGB,4,0.5303,0.5385,0.5369,0.5276,0.5408,0.5303,0.5254,0.5769,0.4286,0.4918,0.5,0.6452,0.5634,"{'n_estimators': 244, 'max_depth': 9, 'learning_rate': 0.16252032871377525, 'subsample': 0.7837800205477121, 'colsample_bytree': 0.7052870675495496, 'min_child_weight': 2, 'gamma': 1.005189194208213, 'reg_alpha': 1.4650857571370968, 'reg_lambda': 1.5028355633225892}",244.0,9.0,,,,,0.16252032871377525,0.7837800205477121,0.7052870675495496,2.0,1.005189194208213,1.4650857571370968,1.5028355633225892,,
9,XGB,5,0.8261,0.8232,0.8511,0.822,0.8611,0.8261,0.8296,0.6889,0.9394,0.7949,0.9574,0.7627,0.8491,"{'n_estimators': 476, 'max_depth': 9, 'learning_rate': 0.029323105618991638, 'subsample': 0.6071847502459278, 'colsample_bytree': 0.9924283304357214, 'min_child_weight': 7, 'gamma': 4.865188803848123, 'reg_alpha': 1.2481670543447305, 'reg_lambda': 0.07959921215402954}",476.0,9.0,,,,,0.029323105618991638,0.6071847502459278,0.9924283304357214,7.0,4.865188803848123,1.2481670543447305,0.07959921215402954,,
