,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6202,0.652,0.6013,0.5759,0.6483,0.6202,0.585,0.7067,0.3182,0.4388,0.5972,0.8845,0.713,"{'n_estimators': 415, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",415.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.7176,0.7006,0.6997,0.7001,0.717,0.7176,0.7173,0.6313,0.6243,0.6278,0.7699,0.7751,0.7725,"{'n_estimators': 369, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",369.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,
2,RF,3,0.6922,0.7211,0.7078,0.6902,0.7322,0.6922,0.6876,0.6118,0.861,0.7153,0.8304,0.5547,0.6651,"{'n_estimators': 198, 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': False}",198.0,3.0,14.0,7.0,,False,,,,,,,,,
3,RF,4,0.7581,0.7552,0.7547,0.7549,0.7579,0.7581,0.7579,0.7309,0.7237,0.7273,0.7795,0.7857,0.7826,"{'n_estimators': 313, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}",313.0,3.0,10.0,5.0,sqrt,True,,,,,,,,,
4,RF,5,0.7504,0.7155,0.7391,0.7224,0.7712,0.7504,0.7568,0.573,0.7101,0.6342,0.8581,0.7681,0.8106,"{'n_estimators': 438, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",438.0,4.0,19.0,9.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6384,0.7048,0.617,0.584,0.698,0.6384,0.594,0.8059,0.2965,0.4335,0.6037,0.9375,0.7344,"{'n_estimators': 196, 'max_depth': 12, 'learning_rate': 0.019372166284625944, 'subsample': 0.6926653108768327, 'colsample_bytree': 0.6397536670461723, 'min_child_weight': 5, 'gamma': 4.519424811177247, 'reg_alpha': 1.8119479751257943, 'reg_lambda': 1.6821099117249774}",196.0,12.0,,,,,0.019372166284625944,0.6926653108768327,0.6397536670461723,5.0,4.519424811177247,1.8119479751257943,1.6821099117249774,,
6,XGB,2,0.6438,0.6213,0.62,0.6206,0.642,0.6438,0.6428,0.5341,0.5193,0.5266,0.7085,0.7206,0.7145,"{'n_estimators': 331, 'max_depth': 6, 'learning_rate': 0.012413189635294229, 'subsample': 0.7243929286862649, 'colsample_bytree': 0.7300733288106989, 'min_child_weight': 8, 'gamma': 3.1877873567760657, 'reg_alpha': 1.774425485152653, 'reg_lambda': 0.9444298503238986}",331.0,6.0,,,,,0.012413189635294229,0.7243929286862649,0.7300733288106989,8.0,3.1877873567760657,1.774425485152653,0.9444298503238986,,
7,XGB,3,0.713,0.7266,0.7233,0.7128,0.7354,0.713,0.712,0.6402,0.8244,0.7207,0.813,0.6223,0.705,"{'n_estimators': 298, 'max_depth': 4, 'learning_rate': 0.01036190622392575, 'subsample': 0.6073248792362046, 'colsample_bytree': 0.9848658569074349, 'min_child_weight': 7, 'gamma': 0.4805348372562509, 'reg_alpha': 0.008911233051175853, 'reg_lambda': 0.8703147058466669}",298.0,4.0,,,,,0.01036190622392575,0.6073248792362046,0.9848658569074349,7.0,0.4805348372562509,0.008911233051175853,0.8703147058466669,,
8,XGB,4,0.7243,0.7241,0.714,0.7158,0.7242,0.7243,0.7212,0.7231,0.6184,0.6667,0.7251,0.8095,0.765,"{'n_estimators': 192, 'max_depth': 3, 'learning_rate': 0.01291994187790851, 'subsample': 0.90452928021914, 'colsample_bytree': 0.9710403588505682, 'min_child_weight': 9, 'gamma': 1.3360449211014016, 'reg_alpha': 0.6700120618244569, 'reg_lambda': 0.5935755430736293}",192.0,3.0,,,,,0.01291994187790851,0.90452928021914,0.9710403588505682,9.0,1.3360449211014016,0.6700120618244569,0.5935755430736293,,
9,XGB,5,0.735,0.6973,0.7168,0.7034,0.7534,0.735,0.7412,0.5538,0.6702,0.6065,0.8408,0.7634,0.8002,"{'n_estimators': 297, 'max_depth': 3, 'learning_rate': 0.012081460388966592, 'subsample': 0.9520528248401178, 'colsample_bytree': 0.7344817072933508, 'min_child_weight': 10, 'gamma': 2.194061536947019, 'reg_alpha': 0.09610931064597383, 'reg_lambda': 1.2624893067189227}",297.0,3.0,,,,,0.012081460388966592,0.9520528248401178,0.7344817072933508,10.0,2.194061536947019,0.09610931064597383,1.2624893067189227,,
10,DT,1,0.6495,0.658,0.6552,0.6489,0.6618,0.6495,0.6479,0.6011,0.7403,0.6634,0.715,0.5701,0.6344,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': None, 'splitter': 'best'}",,2.0,17.0,3.0,,,,,,,,,,entropy,best
11,DT,2,0.7313,0.7153,0.7156,0.7154,0.7314,0.7313,0.7314,0.6474,0.6492,0.6483,0.7833,0.7819,0.7826,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 10, 'max_features': 'log2', 'splitter': 'best'}",,3.0,14.0,10.0,log2,,,,,,,,,entropy,best
12,DT,3,0.6835,0.7191,0.701,0.6802,0.731,0.6835,0.6769,0.6017,0.8732,0.7124,0.8365,0.5288,0.648,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 17, 'min_samples_leaf': 5, 'max_features': None, 'splitter': 'best'}",,2.0,17.0,5.0,,,,,,,,,,entropy,best
13,DT,4,0.7214,0.7326,0.7313,0.7214,0.7418,0.7214,0.721,0.6477,0.8224,0.7246,0.8176,0.6402,0.7181,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': None, 'splitter': 'random'}",,3.0,11.0,4.0,,,,,,,,,,entropy,random
14,DT,5,0.7196,0.7023,0.7364,0.7017,0.7708,0.7196,0.7303,0.527,0.7793,0.6288,0.8776,0.6935,0.7747,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'splitter': 'best'}",,2.0,20.0,10.0,sqrt,,,,,,,,,gini,best
15,RF,MEAN,0.7077,0.7089,0.7005,0.6887,0.7253,0.7077,0.7009,0.6507,0.6475,0.6287,0.767,0.7536,0.7488,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0556,0.0376,0.0598,0.0678,0.048,0.0556,0.0712,0.0661,0.2027,0.1154,0.1016,0.1208,0.0588,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.6909,0.6948,0.6782,0.6673,0.7106,0.6909,0.6822,0.6514,0.5858,0.5908,0.7382,0.7707,0.7438,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0462,0.0429,0.0546,0.0609,0.0433,0.0462,0.0617,0.1145,0.1957,0.1137,0.0939,0.1161,0.039,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.7011,0.7055,0.7079,0.6935,0.7274,0.7011,0.7015,0.605,0.7729,0.6755,0.806,0.6429,0.7116,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0341,0.0286,0.0326,0.0295,0.0401,0.0341,0.0374,0.0493,0.085,0.0414,0.0612,0.1003,0.069,N/A,,,,,,,,,,,,,,,
