,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6887,0.6855,0.6864,0.6859,0.6897,0.6887,0.6891,0.6471,0.6648,0.6558,0.724,0.708,0.7159,"{'n_estimators': 398, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",398.0,3.0,20.0,3.0,,True,,,,,,,,,
1,RF,2,0.6702,0.6725,0.6689,0.6679,0.6722,0.6702,0.6685,0.6881,0.5991,0.6406,0.6568,0.7386,0.6953,"{'n_estimators': 415, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",415.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
2,RF,3,0.734,0.6663,0.6776,0.671,0.7441,0.734,0.7384,0.5,0.557,0.5269,0.8325,0.7982,0.815,"{'n_estimators': 224, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': False}",224.0,3.0,16.0,3.0,sqrt,False,,,,,,,,,
3,RF,4,0.686,0.6744,0.6529,0.6557,0.6801,0.686,0.6758,0.6453,0.4847,0.5536,0.7035,0.8211,0.7578,"{'n_estimators': 318, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",318.0,3.0,19.0,3.0,sqrt,True,,,,,,,,,
4,RF,5,0.7003,0.698,0.6994,0.6984,0.702,0.7003,0.7008,0.659,0.6909,0.6746,0.7371,0.7079,0.7222,"{'n_estimators': 424, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",424.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6789,0.6748,0.6722,0.673,0.6775,0.6789,0.6777,0.6491,0.6099,0.6289,0.7004,0.7345,0.7171,"{'n_estimators': 146, 'max_depth': 6, 'learning_rate': 0.04955817146053165, 'subsample': 0.9438808931823901, 'colsample_bytree': 0.7496279102241226, 'min_child_weight': 5, 'gamma': 3.688904122873095, 'reg_alpha': 1.5180037003938782, 'reg_lambda': 1.839206620815206}",146.0,6.0,,,,,0.04955817146053165,0.9438808931823901,0.7496279102241226,5.0,3.688904122873095,1.5180037003938782,1.839206620815206,,
6,XGB,2,0.5877,0.5905,0.5855,0.581,0.5903,0.5877,0.582,0.6022,0.4698,0.5278,0.5788,0.7012,0.6341,"{'n_estimators': 394, 'max_depth': 4, 'learning_rate': 0.14214333793545983, 'subsample': 0.8131257183514556, 'colsample_bytree': 0.6200076270075697, 'min_child_weight': 7, 'gamma': 3.4129256212255425, 'reg_alpha': 1.7042965114014081, 'reg_lambda': 1.1773668981242087}",394.0,4.0,,,,,0.14214333793545983,0.8131257183514556,0.6200076270075697,7.0,3.4129256212255425,1.7042965114014081,1.1773668981242087,,
7,XGB,3,0.6852,0.6212,0.6383,0.6256,0.712,0.6852,0.6955,0.4271,0.538,0.4762,0.8152,0.7385,0.775,"{'n_estimators': 165, 'max_depth': 11, 'learning_rate': 0.026411465232795833, 'subsample': 0.9777543984480053, 'colsample_bytree': 0.6468562615498967, 'min_child_weight': 3, 'gamma': 4.722168057481616, 'reg_alpha': 1.632393267947069, 'reg_lambda': 0.5029437330178884}",165.0,11.0,,,,,0.026411465232795833,0.9777543984480053,0.6468562615498967,3.0,4.722168057481616,1.632393267947069,0.5029437330178884,,
8,XGB,4,0.6737,0.6653,0.6305,0.6299,0.6687,0.6737,0.6549,0.6483,0.4105,0.5027,0.6824,0.8504,0.7572,"{'n_estimators': 264, 'max_depth': 7, 'learning_rate': 0.1631273578473762, 'subsample': 0.6351627961488784, 'colsample_bytree': 0.7824936169233744, 'min_child_weight': 1, 'gamma': 2.3565648626755773, 'reg_alpha': 1.234794556911147, 'reg_lambda': 1.4166201428873948}",264.0,7.0,,,,,0.1631273578473762,0.6351627961488784,0.7824936169233744,1.0,2.3565648626755773,1.234794556911147,1.4166201428873948,,
9,XGB,5,0.673,0.674,0.6758,0.6725,0.6795,0.673,0.6738,0.6203,0.703,0.6591,0.7278,0.6485,0.6859,"{'n_estimators': 110, 'max_depth': 12, 'learning_rate': 0.17370220706835007, 'subsample': 0.8624266177504052, 'colsample_bytree': 0.8735024117681786, 'min_child_weight': 3, 'gamma': 3.4044599281828924, 'reg_alpha': 0.3398051739804243, 'reg_lambda': 0.8963814323766668}",110.0,12.0,,,,,0.17370220706835007,0.8624266177504052,0.8735024117681786,3.0,3.4044599281828924,0.3398051739804243,0.8963814323766668,,
