,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6687,0.6724,0.6603,0.6589,0.6715,0.6687,0.6627,0.6861,0.5346,0.601,0.6587,0.786,0.7168,"{'n_estimators': 199, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': True}",199.0,3.0,16.0,9.0,log2,True,,,,,,,,,
1,RF,2,0.7028,0.7032,0.7153,0.6987,0.7315,0.7028,0.7071,0.584,0.768,0.6635,0.8224,0.6627,0.734,"{'n_estimators': 424, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",424.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,
2,RF,3,0.6977,0.7343,0.7153,0.6947,0.7467,0.6977,0.6916,0.6128,0.8878,0.7251,0.8558,0.5427,0.6642,"{'n_estimators': 388, 'max_depth': 5, 'min_samples_split': 20, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",388.0,5.0,20.0,9.0,sqrt,False,,,,,,,,,
3,RF,4,0.7317,0.7464,0.7431,0.7315,0.7566,0.7317,0.7308,0.6532,0.8487,0.7382,0.8397,0.6376,0.7248,"{'n_estimators': 486, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",486.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,
4,RF,5,0.7204,0.7103,0.7474,0.7058,0.7821,0.7204,0.7314,0.5266,0.8165,0.6403,0.894,0.6783,0.7714,"{'n_estimators': 438, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False}",438.0,3.0,17.0,8.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6626,0.6641,0.6553,0.6545,0.6637,0.6626,0.658,0.6702,0.5455,0.6014,0.658,0.7652,0.7075,"{'n_estimators': 125, 'max_depth': 3, 'learning_rate': 0.012206774263308382, 'subsample': 0.8767679257799672, 'colsample_bytree': 0.8555442662382458, 'min_child_weight': 6, 'gamma': 0.05749646563696513, 'reg_alpha': 1.4767991905791213, 'reg_lambda': 0.14580322361940062}",125.0,3.0,,,,,0.012206774263308382,0.8767679257799672,0.8555442662382458,6.0,0.05749646563696513,1.4767991905791213,0.14580322361940062,,
6,XGB,2,0.6765,0.6706,0.6803,0.6695,0.6966,0.6765,0.6809,0.5612,0.6961,0.6215,0.78,0.6644,0.7176,"{'n_estimators': 67, 'max_depth': 3, 'learning_rate': 0.015089074037052258, 'subsample': 0.8116563645072403, 'colsample_bytree': 0.9359215959573836, 'min_child_weight': 9, 'gamma': 1.3175140463838786, 'reg_alpha': 1.5919778727167297, 'reg_lambda': 0.8797297328797233}",67.0,3.0,,,,,0.015089074037052258,0.8116563645072403,0.9359215959573836,9.0,1.3175140463838786,1.5919778727167297,0.8797297328797233,,
7,XGB,3,0.6857,0.7206,0.703,0.6826,0.7325,0.6857,0.6794,0.6037,0.8732,0.7139,0.8375,0.5328,0.6513,"{'n_estimators': 53, 'max_depth': 4, 'learning_rate': 0.015216251287478466, 'subsample': 0.8778383190158062, 'colsample_bytree': 0.89763931402415, 'min_child_weight': 9, 'gamma': 1.463567920534523, 'reg_alpha': 0.9017704435681471, 'reg_lambda': 1.9734983720527985}",53.0,4.0,,,,,0.015216251287478466,0.8778383190158062,0.89763931402415,9.0,1.463567920534523,0.9017704435681471,1.9734983720527985,,
8,XGB,4,0.7258,0.7324,0.7333,0.7258,0.7405,0.7258,0.7261,0.6577,0.8026,0.723,0.8071,0.664,0.7286,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.03191587540129786, 'subsample': 0.9281827682781807, 'colsample_bytree': 0.9004731032747195, 'min_child_weight': 5, 'gamma': 0.7165481544384362, 'reg_alpha': 0.011273635927546976, 'reg_lambda': 0.0785013845636112}",90.0,3.0,,,,,0.03191587540129786,0.9281827682781807,0.9004731032747195,5.0,0.7165481544384362,0.011273635927546976,0.0785013845636112,,
9,XGB,5,0.7091,0.6778,0.7019,0.6818,0.7406,0.7091,0.7182,0.5171,0.6835,0.5888,0.8385,0.7203,0.7749,"{'n_estimators': 456, 'max_depth': 5, 'learning_rate': 0.0163175307223349, 'subsample': 0.9496521141894443, 'colsample_bytree': 0.8443577517129697, 'min_child_weight': 7, 'gamma': 4.843410159000081, 'reg_alpha': 0.3024404126838296, 'reg_lambda': 0.9797288143093594}",456.0,5.0,,,,,0.0163175307223349,0.9496521141894443,0.8443577517129697,7.0,4.843410159000081,0.3024404126838296,0.9797288143093594,,
10,DT,1,0.6364,0.6497,0.6226,0.6124,0.6477,0.6364,0.6189,0.6809,0.4156,0.5161,0.6186,0.8295,0.7087,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'splitter': 'best'}",,2.0,20.0,10.0,sqrt,,,,,,,,,gini,best
