,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.675,0.691,0.6846,0.6739,0.6976,0.675,0.6723,0.6111,0.8,0.6929,0.7708,0.5692,0.6549,"{'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}",50.0,3.0,13.0,5.0,sqrt,True,,,,,,,,,
1,RF,2,0.781,0.7624,0.7451,0.7518,0.7768,0.781,0.7773,0.7143,0.625,0.6667,0.8105,0.8652,0.837,"{'n_estimators': 369, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",369.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,
2,RF,3,0.6344,0.6558,0.6453,0.631,0.6618,0.6344,0.6283,0.7353,0.5,0.5952,0.5763,0.7907,0.6667,"{'n_estimators': 331, 'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",331.0,8.0,3.0,4.0,log2,True,,,,,,,,,
3,RF,4,0.6389,0.6824,0.6806,0.6389,0.7227,0.6389,0.6381,0.5147,0.8537,0.6422,0.85,0.5075,0.6355,"{'n_estimators': 145, 'max_depth': 4, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': True}",145.0,4.0,5.0,6.0,,True,,,,,,,,,
4,RF,5,0.776,0.7667,0.7908,0.7682,0.8049,0.776,0.7808,0.6379,0.8409,0.7255,0.8955,0.7407,0.8108,"{'n_estimators': 412, 'max_depth': 11, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",412.0,11.0,11.0,4.0,sqrt,True,,,,,,,,,
5,XGB,1,0.675,0.6738,0.6748,0.6739,0.6768,0.675,0.6755,0.6379,0.6727,0.6549,0.7097,0.6769,0.6929,"{'n_estimators': 444, 'max_depth': 11, 'learning_rate': 0.03526869347539155, 'subsample': 0.9507651036504481, 'colsample_bytree': 0.8065834984335076, 'min_child_weight': 7, 'gamma': 3.6092322777489096, 'reg_alpha': 1.3163367626772273, 'reg_lambda': 0.9044933465709789}",444.0,11.0,,,,,0.03526869347539155,0.9507651036504481,0.8065834984335076,7.0,3.6092322777489096,1.3163367626772273,0.9044933465709789,,
6,XGB,2,0.7737,0.7547,0.7347,0.7421,0.7689,0.7737,0.7691,0.7073,0.6042,0.6517,0.8021,0.8652,0.8324,"{'n_estimators': 160, 'max_depth': 8, 'learning_rate': 0.04398189955114844, 'subsample': 0.8666549275856394, 'colsample_bytree': 0.8782701316920123, 'min_child_weight': 1, 'gamma': 4.600593943303732, 'reg_alpha': 0.5065245428847956, 'reg_lambda': 1.8309106137592013}",160.0,8.0,,,,,0.04398189955114844,0.8666549275856394,0.8782701316920123,1.0,4.600593943303732,0.5065245428847956,1.8309106137592013,,
7,XGB,3,0.6989,0.7186,0.7086,0.6972,0.7251,0.6989,0.6955,0.8056,0.58,0.6744,0.6316,0.8372,0.72,"{'n_estimators': 216, 'max_depth': 9, 'learning_rate': 0.056163604402917, 'subsample': 0.7150556171072596, 'colsample_bytree': 0.7754347960072469, 'min_child_weight': 6, 'gamma': 4.765438848657876, 'reg_alpha': 1.5289077334708707, 'reg_lambda': 1.8647356477165142}",216.0,9.0,,,,,0.056163604402917,0.7150556171072596,0.7754347960072469,6.0,4.765438848657876,1.5289077334708707,1.8647356477165142,,
8,XGB,4,0.6296,0.654,0.6589,0.6291,0.6891,0.6296,0.6324,0.5079,0.7805,0.6154,0.8,0.5373,0.6429,"{'n_estimators': 405, 'max_depth': 6, 'learning_rate': 0.05321082652224747, 'subsample': 0.9080429650099224, 'colsample_bytree': 0.769121587482435, 'min_child_weight': 5, 'gamma': 3.865243379334843, 'reg_alpha': 1.6331386669477101, 'reg_lambda': 1.6497898623811844}",405.0,6.0,,,,,0.05321082652224747,0.9080429650099224,0.769121587482435,5.0,3.865243379334843,1.6331386669477101,1.6497898623811844,,
9,XGB,5,0.728,0.7268,0.7486,0.7216,0.7701,0.728,0.7341,0.5806,0.8182,0.6792,0.873,0.679,0.7639,"{'n_estimators': 470, 'max_depth': 9, 'learning_rate': 0.023382388119823974, 'subsample': 0.9961016149557428, 'colsample_bytree': 0.820565213150656, 'min_child_weight': 7, 'gamma': 4.456502988121036, 'reg_alpha': 1.14461901004718, 'reg_lambda': 1.3043898130283103}",470.0,9.0,,,,,0.023382388119823974,0.9961016149557428,0.820565213150656,7.0,4.456502988121036,1.14461901004718,1.3043898130283103,,
