,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7294,0.7228,0.7462,0.7205,0.768,0.7294,0.736,0.5775,0.8,0.6708,0.8682,0.6923,0.7703,"{'n_estimators': 486, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",486.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.7176,0.7354,0.7377,0.7175,0.7569,0.7176,0.7182,0.6132,0.8526,0.7133,0.8577,0.6229,0.7217,"{'n_estimators': 332, 'max_depth': 4, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",332.0,4.0,10.0,1.0,sqrt,True,,,,,,,,,
2,RF,3,0.7526,0.7578,0.7557,0.7525,0.7603,0.7526,0.7521,0.8086,0.6923,0.7459,0.707,0.8192,0.759,"{'n_estimators': 395, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",395.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,
3,RF,4,0.7914,0.8075,0.8263,0.7901,0.8491,0.7914,0.7944,0.6471,0.9612,0.7734,0.968,0.6914,0.8067,"{'n_estimators': 486, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",486.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,
4,RF,5,0.6476,0.649,0.6491,0.6476,0.6507,0.6476,0.6477,0.6168,0.6787,0.6463,0.6813,0.6196,0.649,"{'n_estimators': 415, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",415.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
5,XGB,1,0.7193,0.7044,0.7234,0.7062,0.7456,0.7193,0.7255,0.572,0.7366,0.6439,0.8369,0.7103,0.7684,"{'n_estimators': 295, 'max_depth': 3, 'learning_rate': 0.010056955765114658, 'subsample': 0.6094449093830531, 'colsample_bytree': 0.6402803224549548, 'min_child_weight': 8, 'gamma': 2.5168838013522796, 'reg_alpha': 0.934168335865276, 'reg_lambda': 1.691502044776667}",295.0,3.0,,,,,0.010056955765114658,0.6094449093830531,0.6402803224549548,8.0,2.5168838013522796,0.934168335865276,1.691502044776667,,
6,XGB,2,0.7356,0.7393,0.7466,0.7344,0.7563,0.7356,0.7376,0.6424,0.8088,0.716,0.8362,0.6844,0.7527,"{'n_estimators': 56, 'max_depth': 3, 'learning_rate': 0.01368099544829702, 'subsample': 0.7984720888047595, 'colsample_bytree': 0.688589527213122, 'min_child_weight': 10, 'gamma': 4.712277841572937, 'reg_alpha': 0.6641439353081078, 'reg_lambda': 0.35527965037858644}",56.0,3.0,,,,,0.01368099544829702,0.7984720888047595,0.688589527213122,10.0,4.712277841572937,0.6641439353081078,0.35527965037858644,,
7,XGB,3,0.7211,0.7345,0.7263,0.7196,0.738,0.7211,0.7186,0.8043,0.6187,0.6994,0.6647,0.8339,0.7398,"{'n_estimators': 67, 'max_depth': 3, 'learning_rate': 0.03703487488441882, 'subsample': 0.6445281816603878, 'colsample_bytree': 0.632687745304484, 'min_child_weight': 4, 'gamma': 1.4613032547404332, 'reg_alpha': 1.7623009325857248, 'reg_lambda': 0.16271920780040858}",67.0,3.0,,,,,0.03703487488441882,0.6445281816603878,0.632687745304484,4.0,1.4613032547404332,1.7623009325857248,0.16271920780040858,,
8,XGB,4,0.8058,0.8155,0.8367,0.8039,0.8543,0.8058,0.8088,0.6655,0.9563,0.7849,0.9654,0.7171,0.823,"{'n_estimators': 158, 'max_depth': 9, 'learning_rate': 0.017259229450914647, 'subsample': 0.6265092951306769, 'colsample_bytree': 0.7602807472128215, 'min_child_weight': 9, 'gamma': 3.5053097223655496, 'reg_alpha': 0.8689775357916195, 'reg_lambda': 1.4767066542386522}",158.0,9.0,,,,,0.017259229450914647,0.6265092951306769,0.7602807472128215,9.0,3.5053097223655496,0.8689775357916195,1.4767066542386522,,
9,XGB,5,0.6686,0.6677,0.6677,0.6677,0.6686,0.6686,0.6686,0.6506,0.6506,0.6506,0.6848,0.6848,0.6848,"{'n_estimators': 52, 'max_depth': 12, 'learning_rate': 0.010056925528750949, 'subsample': 0.7647135181311876, 'colsample_bytree': 0.7616341245289133, 'min_child_weight': 7, 'gamma': 2.1364391755239396, 'reg_alpha': 1.8991498544621406, 'reg_lambda': 1.294402969654917}",52.0,12.0,,,,,0.010056925528750949,0.7647135181311876,0.7616341245289133,7.0,2.1364391755239396,1.8991498544621406,1.294402969654917,,
