,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7542,0.7542,0.7773,0.749,0.7957,0.7542,0.7594,0.6102,0.8571,0.7129,0.8983,0.6974,0.7852,"{'n_estimators': 494, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",494.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.7212,0.7163,0.7173,0.7167,0.722,0.7212,0.7215,0.6739,0.6889,0.6813,0.7586,0.7458,0.7521,"{'n_estimators': 106, 'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True}",106.0,13.0,7.0,7.0,,True,,,,,,,,,
2,RF,3,0.6941,0.6879,0.6757,0.678,0.6911,0.6941,0.689,0.6667,0.5556,0.6061,0.7091,0.7959,0.75,"{'n_estimators': 317, 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': False}",317.0,4.0,17.0,6.0,log2,False,,,,,,,,,
3,RF,4,0.6061,0.604,0.6009,0.6002,0.6047,0.6061,0.6031,0.6154,0.6857,0.6486,0.5926,0.5161,0.5517,"{'n_estimators': 495, 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 'log2', 'bootstrap': True}",495.0,10.0,6.0,8.0,log2,True,,,,,,,,,
4,RF,5,0.7717,0.8056,0.822,0.7711,0.8605,0.7717,0.7746,0.6111,1.0,0.7586,1.0,0.6441,0.7835,"{'n_estimators': 369, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",369.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,
5,XGB,1,0.7712,0.7541,0.7691,0.7585,0.7832,0.7712,0.7745,0.6531,0.7619,0.7033,0.8551,0.7763,0.8138,"{'n_estimators': 483, 'max_depth': 4, 'learning_rate': 0.010068121201061502, 'subsample': 0.6365643907659109, 'colsample_bytree': 0.8370606729223824, 'min_child_weight': 10, 'gamma': 2.02028377018577, 'reg_alpha': 1.9003261281702777, 'reg_lambda': 0.24232179897248385}",483.0,4.0,,,,,0.010068121201061502,0.6365643907659109,0.8370606729223824,10.0,2.02028377018577,1.9003261281702777,0.24232179897248385,,
6,XGB,2,0.6923,0.6891,0.6919,0.6894,0.6966,0.6923,0.6935,0.6327,0.6889,0.6596,0.7455,0.6949,0.7193,"{'n_estimators': 76, 'max_depth': 7, 'learning_rate': 0.017300152788750002, 'subsample': 0.7098550660745138, 'colsample_bytree': 0.875869770084707, 'min_child_weight': 3, 'gamma': 3.1370991330748375, 'reg_alpha': 0.9736725410780923, 'reg_lambda': 0.795963609406877}",76.0,7.0,,,,,0.017300152788750002,0.7098550660745138,0.875869770084707,3.0,3.1370991330748375,0.9736725410780923,0.795963609406877,,
7,XGB,3,0.7059,0.6987,0.6933,0.6951,0.7036,0.7059,0.7039,0.6667,0.6111,0.6377,0.7308,0.7755,0.7525,"{'n_estimators': 259, 'max_depth': 10, 'learning_rate': 0.02361652833333887, 'subsample': 0.9573416586413055, 'colsample_bytree': 0.7863127375642368, 'min_child_weight': 10, 'gamma': 3.7625891686923683, 'reg_alpha': 1.9144222327831293, 'reg_lambda': 0.330299382899915}",259.0,10.0,,,,,0.02361652833333887,0.9573416586413055,0.7863127375642368,10.0,3.7625891686923683,1.9144222327831293,0.330299382899915,,
8,XGB,4,0.5758,0.5779,0.5779,0.5758,0.58,0.5758,0.5758,0.6129,0.5429,0.5758,0.5429,0.6129,0.5758,"{'n_estimators': 458, 'max_depth': 9, 'learning_rate': 0.03259163682915001, 'subsample': 0.6021843751185753, 'colsample_bytree': 0.8541927964117297, 'min_child_weight': 7, 'gamma': 1.4692378129795807, 'reg_alpha': 0.9695225165027965, 'reg_lambda': 1.0828404030139278}",458.0,9.0,,,,,0.03259163682915001,0.6021843751185753,0.8541927964117297,7.0,1.4692378129795807,0.9695225165027965,1.0828404030139278,,
9,XGB,5,0.7826,0.8113,0.8305,0.7817,0.8646,0.7826,0.7857,0.6226,1.0,0.7674,1.0,0.661,0.7959,"{'n_estimators': 194, 'max_depth': 8, 'learning_rate': 0.02251503684995679, 'subsample': 0.6186458766901913, 'colsample_bytree': 0.9722746090468336, 'min_child_weight': 7, 'gamma': 4.781943167431236, 'reg_alpha': 1.2796441643431131, 'reg_lambda': 0.677217942709214}",194.0,8.0,,,,,0.02251503684995679,0.6186458766901913,0.9722746090468336,7.0,4.781943167431236,1.2796441643431131,0.677217942709214,,
10,DT,1,0.7627,0.756,0.7785,0.7557,0.7938,0.7627,0.7676,0.625,0.8333,0.7143,0.8871,0.7237,0.7971,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'best'}",,3.0,4.0,9.0,log2,,,,,,,,,gini,best
