,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.596,0.6371,0.6279,0.5942,0.6608,0.596,0.5894,0.7692,0.4494,0.5674,0.5051,0.8065,0.6211,"{'n_estimators': 68, 'max_depth': 3, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",68.0,3.0,6.0,4.0,log2,True,,,,,,,,,
1,RF,2,0.7435,0.6937,0.7309,0.7024,0.7803,0.7435,0.7546,0.5102,0.7042,0.5917,0.8772,0.7576,0.813,"{'n_estimators': 190, 'max_depth': 4, 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': True}",190.0,4.0,4.0,9.0,log2,True,,,,,,,,,
2,RF,3,0.675,0.6701,0.6709,0.6704,0.676,0.675,0.6754,0.624,0.6393,0.6316,0.7161,0.7025,0.7093,"{'n_estimators': 249, 'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': False}",249.0,4.0,18.0,10.0,log2,False,,,,,,,,,
3,RF,4,0.7167,0.7509,0.761,0.7162,0.7999,0.7167,0.7194,0.569,0.9252,0.7046,0.9328,0.5968,0.7279,"{'n_estimators': 265, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True}",265.0,3.0,10.0,7.0,,True,,,,,,,,,
4,RF,5,0.7398,0.7436,0.7466,0.7395,0.7526,0.7398,0.7406,0.6699,0.8023,0.7302,0.8172,0.6909,0.7488,"{'n_estimators': 456, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",456.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
5,XGB,1,0.5695,0.6177,0.6055,0.5658,0.6414,0.5695,0.5586,0.75,0.4045,0.5255,0.4854,0.8065,0.6061,"{'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.027387596394016934, 'subsample': 0.7405114480881256, 'colsample_bytree': 0.863456027035029, 'min_child_weight': 3, 'gamma': 2.9971479779653447, 'reg_alpha': 1.147659097685125, 'reg_lambda': 0.7760168946875765}",500.0,10.0,,,,,0.027387596394016934,0.7405114480881256,0.863456027035029,3.0,2.9971479779653447,1.147659097685125,0.7760168946875765,,
6,XGB,2,0.7398,0.6825,0.7103,0.6909,0.7661,0.7398,0.7489,0.5055,0.6479,0.5679,0.8596,0.7727,0.8138,"{'n_estimators': 120, 'max_depth': 8, 'learning_rate': 0.03195013855555839, 'subsample': 0.6049065316268176, 'colsample_bytree': 0.9603947256671508, 'min_child_weight': 1, 'gamma': 4.954790345830203, 'reg_alpha': 1.2669784411214708, 'reg_lambda': 0.09662210371215772}",120.0,8.0,,,,,0.03195013855555839,0.6049065316268176,0.9603947256671508,1.0,4.954790345830203,1.2669784411214708,0.09662210371215772,,
7,XGB,3,0.6821,0.6794,0.6819,0.6796,0.6865,0.6821,0.6833,0.6241,0.6803,0.651,0.7347,0.6835,0.7082,"{'n_estimators': 189, 'max_depth': 7, 'learning_rate': 0.02086215998872379, 'subsample': 0.8056041258472394, 'colsample_bytree': 0.6599052754804123, 'min_child_weight': 7, 'gamma': 4.708369324764422, 'reg_alpha': 1.2988254162734023, 'reg_lambda': 1.3877608268455406}",189.0,7.0,,,,,0.02086215998872379,0.8056041258472394,0.6599052754804123,7.0,4.708369324764422,1.2988254162734023,1.3877608268455406,,
8,XGB,4,0.7235,0.7213,0.7386,0.7177,0.7566,0.7235,0.7287,0.5903,0.7944,0.6773,0.8523,0.6828,0.7582,"{'n_estimators': 210, 'max_depth': 5, 'learning_rate': 0.06333268775321842, 'subsample': 0.6563696899899051, 'colsample_bytree': 0.9208787923016158, 'min_child_weight': 1, 'gamma': 4.9344346830025865, 'reg_alpha': 1.5444895385933148, 'reg_lambda': 0.3974313630683448}",210.0,5.0,,,,,0.06333268775321842,0.6563696899899051,0.9208787923016158,1.0,4.9344346830025865,1.5444895385933148,0.3974313630683448,,
9,XGB,5,0.7449,0.7428,0.7461,0.7432,0.7491,0.7449,0.7458,0.6915,0.7558,0.7222,0.7941,0.7364,0.7642,"{'n_estimators': 379, 'max_depth': 6, 'learning_rate': 0.06241294035874328, 'subsample': 0.9340260910106961, 'colsample_bytree': 0.787111444636443, 'min_child_weight': 7, 'gamma': 3.6580564649043414, 'reg_alpha': 1.1199551677953585, 'reg_lambda': 1.6658362283461785}",379.0,6.0,,,,,0.06241294035874328,0.9340260910106961,0.787111444636443,7.0,3.6580564649043414,1.1199551677953585,1.6658362283461785,,
