,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.8089,0.7993,0.8102,0.8027,0.8162,0.8089,0.8106,0.7245,0.8161,0.7676,0.874,0.8043,0.8377,"{'n_estimators': 500, 'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True}",500.0,3.0,9.0,8.0,,True,,,,,,,,,
1,RF,2,0.5652,0.5412,0.5416,0.5413,0.5676,0.5652,0.5664,0.4306,0.4429,0.4366,0.6518,0.6404,0.646,"{'n_estimators': 457, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",457.0,15.0,5.0,3.0,sqrt,True,,,,,,,,,
2,RF,3,0.7542,0.7647,0.7748,0.7532,0.791,0.7542,0.7564,0.6385,0.8737,0.7378,0.8909,0.6759,0.7686,"{'n_estimators': 384, 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False}",384.0,3.0,14.0,8.0,sqrt,False,,,,,,,,,
3,RF,4,0.7589,0.7602,0.7552,0.7561,0.7597,0.7589,0.7578,0.7684,0.6952,0.73,0.7519,0.8151,0.7823,"{'n_estimators': 376, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 6, 'max_features': 'log2', 'bootstrap': False}",376.0,4.0,19.0,6.0,log2,False,,,,,,,,,
4,RF,5,0.6727,0.6778,0.6807,0.6722,0.6894,0.6727,0.6741,0.5959,0.7373,0.6591,0.7597,0.6242,0.6853,"{'n_estimators': 121, 'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}",121.0,3.0,9.0,2.0,,True,,,,,,,,,
5,XGB,1,0.7378,0.7451,0.6885,0.6953,0.7419,0.7378,0.7211,0.7593,0.4713,0.5816,0.731,0.9058,0.8091,"{'n_estimators': 170, 'max_depth': 8, 'learning_rate': 0.15001250549178965, 'subsample': 0.7653883225319654, 'colsample_bytree': 0.847433143284617, 'min_child_weight': 6, 'gamma': 2.693382205688243, 'reg_alpha': 1.314483132775155, 'reg_lambda': 0.8020036129766939}",170.0,8.0,,,,,0.15001250549178965,0.7653883225319654,0.847433143284617,6.0,2.693382205688243,1.314483132775155,0.8020036129766939,,
6,XGB,2,0.5924,0.5707,0.5718,0.5711,0.5958,0.5924,0.5939,0.4658,0.4857,0.4755,0.6757,0.6579,0.6667,"{'n_estimators': 278, 'max_depth': 3, 'learning_rate': 0.051088152983385766, 'subsample': 0.8202417001660833, 'colsample_bytree': 0.7202782557191425, 'min_child_weight': 1, 'gamma': 1.8680355314125383, 'reg_alpha': 1.1750470846641652, 'reg_lambda': 1.0338212256805783}",278.0,3.0,,,,,0.051088152983385766,0.8202417001660833,0.7202782557191425,1.0,1.8680355314125383,1.1750470846641652,1.0338212256805783,,
7,XGB,3,0.7333,0.7309,0.7412,0.7297,0.7514,0.7333,0.7362,0.6325,0.7789,0.6981,0.8293,0.7034,0.7612,"{'n_estimators': 294, 'max_depth': 6, 'learning_rate': 0.010193240273930313, 'subsample': 0.8025836550148799, 'colsample_bytree': 0.7614378289173255, 'min_child_weight': 9, 'gamma': 4.616261491786052, 'reg_alpha': 1.1745388362078242, 'reg_lambda': 1.1358707803823644}",294.0,6.0,,,,,0.010193240273930313,0.8025836550148799,0.7614378289173255,9.0,4.616261491786052,1.1745388362078242,1.1358707803823644,,
8,XGB,4,0.7321,0.7357,0.7266,0.7273,0.7346,0.7321,0.7295,0.7528,0.6381,0.6907,0.7185,0.8151,0.7638,"{'n_estimators': 355, 'max_depth': 4, 'learning_rate': 0.27026668834508794, 'subsample': 0.9600416597407043, 'colsample_bytree': 0.6708924874520799, 'min_child_weight': 2, 'gamma': 4.5620460490455725, 'reg_alpha': 1.363142183380171, 'reg_lambda': 1.3942749801121537}",355.0,4.0,,,,,0.27026668834508794,0.9600416597407043,0.6708924874520799,2.0,4.5620460490455725,1.363142183380171,1.3942749801121537,,
9,XGB,5,0.6727,0.6752,0.6786,0.6718,0.6861,0.6727,0.6743,0.5986,0.7203,0.6538,0.7519,0.6369,0.6897,"{'n_estimators': 192, 'max_depth': 3, 'learning_rate': 0.01248460220826166, 'subsample': 0.6767263257385894, 'colsample_bytree': 0.7445588973194861, 'min_child_weight': 1, 'gamma': 1.6454543198958755, 'reg_alpha': 0.025912585322936277, 'reg_lambda': 0.6554678258186372}",192.0,3.0,,,,,0.01248460220826166,0.6767263257385894,0.7445588973194861,1.0,1.6454543198958755,0.025912585322936277,0.6554678258186372,,
10,DT,1,0.7511,0.7612,0.7737,0.7497,0.7913,0.7511,0.754,0.6281,0.8736,0.7308,0.8942,0.6739,0.7686,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 15, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'best'}",,3.0,15.0,8.0,log2,,,,,,,,,entropy,best
11,DT,2,0.6196,0.617,0.6241,0.613,0.645,0.6196,0.6251,0.5,0.6429,0.5625,0.734,0.6053,0.6635,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'splitter': 'random'}",,5.0,20.0,5.0,sqrt,,,,,,,,,entropy,random
12,DT,3,0.5542,0.7006,0.6256,0.5331,0.7488,0.5542,0.5124,0.4694,0.9684,0.6323,0.9318,0.2828,0.4339,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 17, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'best'}",,1.0,17.0,8.0,log2,,,,,,,,,gini,best
13,DT,4,0.7232,0.7512,0.7115,0.7074,0.7469,0.7232,0.7117,0.8209,0.5238,0.6395,0.6815,0.8992,0.7754,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'best'}",,2.0,6.0,9.0,log2,,,,,,,,,entropy,best
14,DT,5,0.6509,0.6424,0.6395,0.6404,0.6484,0.6509,0.6491,0.6,0.5593,0.5789,0.6848,0.7197,0.7019,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'best'}",,2.0,6.0,9.0,log2,,,,,,,,,entropy,best
15,RF,MEAN,0.712,0.7086,0.7125,0.7051,0.7248,0.712,0.7131,0.6316,0.713,0.6662,0.7857,0.712,0.744,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0955,0.1037,0.1066,0.1029,0.0999,0.0955,0.0954,0.1314,0.1661,0.1344,0.0982,0.0912,0.0773,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.6937,0.6915,0.6813,0.679,0.702,0.6937,0.691,0.6418,0.6189,0.6199,0.7413,0.7438,0.7381,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0626,0.0729,0.0665,0.0649,0.0645,0.0626,0.0595,0.1215,0.1376,0.093,0.0565,0.1138,0.0585,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.6598,0.6945,0.6749,0.6487,0.7161,0.6598,0.6505,0.6037,0.7136,0.6288,0.7853,0.6362,0.6687,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0794,0.0641,0.0659,0.0842,0.0658,0.0794,0.0924,0.1384,0.1971,0.066,0.1192,0.2255,0.1393,N/A,,,,,,,,,,,,,,,
