start_idx,end_idx,start_time,end_time,center_time,label,mean_st_x,mean_st_y,mean_st_z,sd_st_x,sd_st_y,sd_st_z,min_st_x,min_st_y,min_st_z,max_st_x,max_st_y,max_st_z,mean_pitch,mean_sway,sd_pitch,sd_sway,min_pitch,min_sway,max_pitch,max_sway,mean_vedba_s,sd_vedba_s,min_vedba_s,max_vedba_s,psd1_x,psd2_x,psd1_y,psd2_y,psd1_z,psd2_z,mean_gyr_x,mean_gyr_y,mean_gyr_z,sd_gyr_x,sd_gyr_y,sd_gyr_z,min_gyr_x,min_gyr_y,min_gyr_z,max_gyr_x,max_gyr_y,max_gyr_z,experiment_id
0,300,0.0,5.0,2.5,pre-void,0.8401594110741333,0.32740431306678025,0.6368573812952699,0.6777247811276426,0.8228963746987381,0.6132610247863794,-1.1074683656017552,-2.8887109497435803,-1.1722284331737365,4.145151530223918,3.1048530928718074,2.0546306468556796,0.6904152422885922,0.33355516812051633,0.0,0.0,0.6904152422885922,0.33355516812051633,0.6904152422885922,0.33355516812051633,0.9803162588587003,0.7426563401642504,0.08505334755337185,4.125200223791779,0.08610454407833741,0.08072081667007308,0.1297662017888473,0.12848853462209942,0.0731678586708896,0.02905329315946072,-0.12219262757841813,-0.07758634084277719,-0.029740626270769194,0.9753355176169692,1.3250377332897314,1.24228797532657,-2.854918411358727,-5.3212565603590996,-3.9912413304876893,5.035479840661782,5.200349510678503,5.8818343342973645,1
300,600,5.0,10.0,7.5,pre-void,0.6011749243563058,0.0576833192861168,0.29434230327977196,0.6850197718189502,0.9984052407992304,0.8594817337144443,-2.27059366617524,-2.580103525428927,-1.5447175358384293,2.986048077122804,2.856133988558841,2.250760383343917,0.2987672624767851,0.0577153561913825,0.0,0.0,0.2987672624767851,0.0577153561913825,0.2987672624767851,0.0577153561913825,1.3226564796754192,0.6747990812083771,0.07505901839827264,3.363787070059865,0.33931100138907144,0.2742333151545071,0.4673771315389612,0.2504739721478116,1.1854589932325448,0.19132240055762448,0.3024320221717915,-0.20244307583269755,-0.07533002216561259,1.402451608525416,1.0074226481202784,1.1417974480326265,-3.399598044598875,-3.2630065265827506,-3.21703382482401,4.883485191524976,1.8835288512995794,4.406078165384357,1
600,900,10.0,15.0,12.5,pre-void,0.5096063632200224,-0.31391785770524666,-0.4866309587041345,0.46504862182701123,0.8580719201334498,0.4387000060581997,-0.8860513212748312,-3.23487893336893,-2.0088575570368534,2.5345761264532687,3.0266459124655145,1.005619959021023,-0.5082291226015685,-0.3193166821319928,0.0,0.0,-0.5082291226015685,-0.3193166821319928,-0.5082291226015685,-0.3193166821319928,0.8815871871737264,0.6064811353301018,0.06401168141248137,3.7385797183801026,0.08419705393135608,0.06570060545591203,0.46106310097664,0.26224509669979784,0.08484943757773876,0.0820974431216011,0.049576096415713984,0.11104800119872055,0.09899057755872485,0.9749549023860201,0.7792863477237698,0.7150566360151904,-4.100139223542289,-1.9287808387389174,-1.6967440849624287,4.078268270530379,3.0382431642816727,2.419410788561127,1
900,1200,15.0,20.0,17.5,void,0.32970943109649054,-0.5841798765507641,-0.9527716011921268,0.9230426189992788,0.6727752424182748,0.5085742425769434,-1.3689142034458628,-2.5102847281904275,-2.306155870707958,3.9166354108172263,1.2381563825456603,0.2002689200840584,-1.2622354522146735,-0.6238692179822509,0.0,0.0,-1.2622354522146735,-0.6238692179822509,-1.2622354522146735,-0.6238692179822509,1.0643809175099925,0.6560298971489902,0.06894244437399497,3.5949893826342323,0.014259942715681966,0.010686572510490572,0.2791186122008761,0.1859404644077387,0.429972983104344,0.20771771988841137,0.14899577779772286,-0.12593188051091425,0.2796287601977645,0.8335002712394168,1.0841230466723428,1.4443583444480024,-1.8766929843487756,-5.154483224354618,-2.40463424219991,2.202340068257667,4.51285747586184,7.315474412622967,1
1200,1500,20.0,25.0,22.5,void,0.9770914455765768,-0.820664842399575,-1.4765072724921777,0.40922455843259636,0.6337448052232894,0.45407085747508474,-0.9457036613375619,-2.4560376230854923,-2.4366017406248757,2.242517054063005,0.7239237816370655,-0.28990905084378354,-1.5707963267948966,-0.9625735608231436,0.0,0.0,-1.5707963267948966,-0.9625735608231436,-1.5707963267948966,-0.9625735608231436,0.7859011528277553,0.3970351860528512,0.05553945135777282,2.1072053853643933,0.020440593140264196,0.009760604596896916,0.1732312848446978,0.1535251891666617,0.2415317060991118,0.0682866189605188,-0.12521913772244173,0.08064813957735861,-0.20141511487088987,0.6702164257536498,0.49353890487757623,0.5364390416179159,-2.1519686285331985,-1.1267902258262006,-2.5208798589395696,1.89735984627751,2.791853169879331,0.7885427389127723,1
1500,1800,25.0,30.0,27.5,void,-0.46098357747090063,0.02782896210982803,-0.02356562048448386,0.2522471308494207,0.7557565215595987,0.7623975227917299,-1.1632076058628358,-1.9051777994343557,-1.6425091065078408,0.4627687285788207,1.6287921303178348,1.2961334188267108,-0.023567802179004452,0.027832555390773398,0.0,0.0,-0.023567802179004452,0.027832555390773398,-0.023567802179004452,0.027832555390773398,0.9666925990648535,0.5306146780610516,0.09550155161872767,2.5231527998194534,0.027845936619472562,0.01885506003441078,0.21214932958963478,0.1738382208684976,0.23438260717824555,0.1426251716331337,-0.23788445004823103,-0.13760403185319917,-0.0874308434597584,0.727189909987111,0.5109973187752822,0.6394543782846606,-2.316956098293617,-1.7715699671672234,-2.9307017014014125,1.258513613415187,1.6256641985544091,1.422278706325156,1
1800,2100,30.0,35.0,32.5,void,-0.6456452864951832,0.395095672976745,0.6538736057171619,0.23610597811958534,0.7318542242494793,0.47935184390719787,-1.2308913675550863,-2.1029122390833725,-0.7566676984307077,-0.01960416597588103,2.0175494972194414,2.0016875449702423,0.712692910469739,0.40617199504919127,0.0,0.0,0.712692910469739,0.40617199504919127,0.712692910469739,0.40617199504919127,0.7917801648271954,0.44070284693777867,0.06609131240521617,2.8310249962713794,0.06399030270603241,0.01985214040314538,0.3365062799667748,0.3012154092790807,0.5088033081782616,0.36183097479542053,-0.07954825351935088,-0.034261677889880576,-0.008044287463119785,0.7050018373328285,0.4088449655654502,0.4598790197929575,-1.9250943230716469,-1.1020992065571273,-0.9368183048127782,1.9857703006973535,1.1141368907803468,1.3414643293168493,1
2100,2400,35.0,40.0,37.5,void,-0.6516143623566752,0.5669317618206332,0.8274715845909012,0.3364253966016259,0.8643001518335596,0.5797256422209495,-2.8246046918338736,-2.4570205742817803,-0.7782836674406711,0.6055022108891427,4.433499516727302,2.3480070925144205,0.9745897237570104,0.6027764070542498,0.0,0.0,0.9745897237570104,0.6027764070542498,0.9745897237570104,0.6027764070542498,0.8990060545408365,0.6229500253515415,0.09377319503040121,4.172558671850471,0.04417010023802341,0.03691681115387137,0.6216341772211622,0.42147267759048374,0.7985156416448235,0.5408408472500157,-0.046158442264338885,-0.06126347720594904,0.09586019955696548,0.8946127385388525,0.581019564093123,0.5291612376584713,-5.685440372150885,-1.684120977791374,-1.119641139190662,1.8387676997046327,2.2775475316537936,3.488660499108754,1
2400,2700,40.0,45.0,42.5,post-void,-0.31755511072873027,0.488395916160408,0.6867592380456007,0.9167124755696447,1.3927947759638908,0.9996247943586785,-5.019914587929322,-10.558232629080777,-2.9146936392775586,2.2680435066229134,8.838109681173963,4.87326455221447,0.7570211831258016,0.5102505711616614,0.0,0.0,0.7570211831258016,0.5102505711616614,0.7570211831258016,0.5102505711616614,1.5863857468716274,1.1237744624418682,0.20561303780348364,11.644542227759313,0.10656888038314366,0.04353627249942878,1.394765660457697,0.8419500452842382,2.024463778469242,1.1146382809043378,0.2559821712351395,0.39420914579584304,0.20018422061821636,1.3332919170895068,1.6486272799223076,1.1972841844805364,-4.513277207450149,-3.8784543622096437,-5.719534663370223,4.803326315802198,9.88726367538084,4.550216125568175,1
0,300,0.0,5.0,2.5,pre-void,0.3548906149370776,-0.2736056064093944,-0.26070268167460225,0.25235870942963884,0.05303812328975756,0.03620680285277672,-1.0277888527594983,-0.5251328973952257,-0.42119623607566303,1.2992356524175805,-0.07177593760773375,-0.14208554700462142,-0.26374998286092693,-0.2771396911034133,0.0,0.0,-0.26374998286092693,-0.2771396911034133,-0.26374998286092693,-0.2771396911034133,0.16997919310038634,0.1972713036223308,0.007198964080421079,1.409827831281305,0.011624729705739257,0.010278080271989492,0.0005941791620097965,0.00044824301117742284,0.0004210338876096555,0.00018885325227426395,0.1294690213448581,5.551471163810717e-05,0.003770446271259201,0.0983960634005223,0.3359574585042766,0.36459940485200887,-0.16328204495808726,-1.2635953957503796,-1.4735236883909866,0.4746952641246136,1.209066918771729,1.138868226218274,2
