,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6512,0.4098,0.5206,0.4577,0.5283,0.6512,0.5825,"{'n_estimators': 417, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",0.4887,0.6886,0.5717,0.0,0.0,0.0,0.7407,0.8733,0.8015,417.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.4372,0.392,0.4182,0.3689,0.4012,0.4372,0.3841,"{'n_estimators': 346, 'max_depth': 6, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.326,0.4491,0.3778,0.3037,0.0581,0.0975,0.5463,0.7476,0.6313,346.0,6.0,19.0,4.0,log2,True,,,,,,,,,
2,RF,3,0.5473,0.5358,0.4971,0.486,0.5536,0.5473,0.5267,"{'n_estimators': 226, 'max_depth': 7, 'min_samples_split': 12, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': True}",0.625,0.5153,0.5649,0.4773,0.1991,0.2809,0.505,0.7771,0.6122,226.0,7.0,12.0,10.0,sqrt,True,,,,,,,,,
3,RF,4,0.5359,0.4878,0.4924,0.4794,0.5447,0.5359,0.5288,"{'n_estimators': 162, 'max_depth': 7, 'min_samples_split': 16, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': False}",0.6929,0.5396,0.6067,0.2616,0.2088,0.2322,0.509,0.7288,0.5994,162.0,7.0,16.0,9.0,log2,False,,,,,,,,,
4,RF,5,0.6189,0.6702,0.538,0.4883,0.6844,0.6189,0.5718,"{'n_estimators': 450, 'max_depth': 5, 'min_samples_split': 13, 'min_samples_leaf': 8, 'max_features': 'log2', 'bootstrap': False}",0.4539,0.7704,0.5713,0.7778,0.0609,0.1129,0.7788,0.7826,0.7807,450.0,5.0,13.0,8.0,log2,False,,,,,,,,,
5,XGB,1,0.7027,0.7029,0.6244,0.6318,0.7121,0.7027,0.687,"{'n_estimators': 154, 'max_depth': 3, 'learning_rate': 0.0335729817675125, 'subsample': 0.7468468855758761, 'colsample_bytree': 0.8250122810664506, 'min_child_weight': 5, 'gamma': 3.5329744661229174, 'reg_alpha': 1.2143685480664512, 'reg_lambda': 0.5345658993343937}",0.5969,0.7068,0.6472,0.7667,0.3276,0.4591,0.7451,0.8387,0.7892,154.0,3.0,,,,,0.0335729817675125,0.7468468855758761,0.8250122810664506,5.0,3.5329744661229174,1.2143685480664512,0.5345658993343937,,
6,XGB,2,0.406,0.375,0.3886,0.3591,0.3833,0.406,0.3724,"{'n_estimators': 99, 'max_depth': 3, 'learning_rate': 0.039108913612204844, 'subsample': 0.7727431143998708, 'colsample_bytree': 0.9492504026639947, 'min_child_weight': 6, 'gamma': 1.2624552854106552, 'reg_alpha': 0.614348638963732, 'reg_lambda': 1.9786919006534194}",0.2942,0.3702,0.3278,0.3182,0.1091,0.1624,0.5125,0.6866,0.5869,99.0,3.0,,,,,0.039108913612204844,0.7727431143998708,0.9492504026639947,6.0,1.2624552854106552,0.614348638963732,1.9786919006534194,,
7,XGB,3,0.5436,0.5301,0.5201,0.5144,0.5597,0.5436,0.5395,"{'n_estimators': 167, 'max_depth': 11, 'learning_rate': 0.012637124713745361, 'subsample': 0.6999862492333339, 'colsample_bytree': 0.6689718860925683, 'min_child_weight': 3, 'gamma': 3.9956667101033685, 'reg_alpha': 1.673779688047131, 'reg_lambda': 1.1325729433816347}",0.663,0.4939,0.5661,0.4246,0.3602,0.3897,0.5028,0.7062,0.5874,167.0,11.0,,,,,0.012637124713745361,0.6999862492333339,0.6689718860925683,3.0,3.9956667101033685,1.673779688047131,1.1325729433816347,,
8,XGB,4,0.4907,0.4651,0.4679,0.4615,0.514,0.4907,0.4966,"{'n_estimators': 452, 'max_depth': 6, 'learning_rate': 0.026938661884427346, 'subsample': 0.8057716223201136, 'colsample_bytree': 0.789281867907875, 'min_child_weight': 5, 'gamma': 2.7873506083198976, 'reg_alpha': 0.5400079796035442, 'reg_lambda': 0.16113807922047269}",0.6239,0.4854,0.546,0.2531,0.3118,0.2794,0.5185,0.6065,0.559,452.0,6.0,,,,,0.026938661884427346,0.8057716223201136,0.789281867907875,5.0,2.7873506083198976,0.5400079796035442,0.16113807922047269,,
9,XGB,5,0.6097,0.5819,0.5425,0.5226,0.6201,0.6097,0.5868,"{'n_estimators': 71, 'max_depth': 3, 'learning_rate': 0.02076245207434494, 'subsample': 0.7432189351569813, 'colsample_bytree': 0.9065865784013705, 'min_child_weight': 1, 'gamma': 2.1600267226569043, 'reg_alpha': 0.5628339227143941, 'reg_lambda': 1.7368965790717363}",0.4625,0.7072,0.5592,0.5274,0.1674,0.2541,0.756,0.753,0.7545,71.0,3.0,,,,,0.02076245207434494,0.7432189351569813,0.9065865784013705,1.0,2.1600267226569043,0.5628339227143941,1.7368965790717363,,
