,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6304,0.6065,0.5355,0.5511,0.6204,0.6304,0.6097,"{'n_estimators': 221, 'max_depth': 12, 'min_samples_split': 14, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",221.0,12.0,14.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.4632,0.4483,0.4905,0.3972,0.4529,0.4632,0.3792,"{'n_estimators': 417, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",417.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,
2,RF,3,0.5138,0.5017,0.4912,0.4673,0.5041,0.5138,0.4825,"{'n_estimators': 492, 'max_depth': 11, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}",492.0,11.0,9.0,1.0,log2,True,,,,,,,,,
3,RF,4,0.512,0.4674,0.4591,0.4618,0.5233,0.512,0.5163,"{'n_estimators': 393, 'max_depth': 17, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}",393.0,17.0,20.0,4.0,,True,,,,,,,,,
4,RF,5,0.5821,0.59,0.577,0.5334,0.699,0.5821,0.576,"{'n_estimators': 433, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",433.0,4.0,19.0,9.0,sqrt,False,,,,,,,,,
5,XGB,1,0.5598,0.5486,0.5047,0.5192,0.5612,0.5598,0.5553,"{'n_estimators': 180, 'max_depth': 10, 'learning_rate': 0.015233612670782843, 'subsample': 0.9214559800640258, 'colsample_bytree': 0.9722440912021869, 'min_child_weight': 3, 'gamma': 1.1121256548618703, 'reg_alpha': 1.8313538122824822, 'reg_lambda': 0.9797842570138702}",180.0,10.0,,,,,0.015233612670782843,0.9214559800640258,0.9722440912021869,3.0,1.1121256548618703,1.8313538122824822,0.9797842570138702,,
6,XGB,2,0.4632,0.43,0.4876,0.3958,0.4327,0.4632,0.3793,"{'n_estimators': 69, 'max_depth': 8, 'learning_rate': 0.06833657398708072, 'subsample': 0.65665396067864, 'colsample_bytree': 0.943909336678787, 'min_child_weight': 2, 'gamma': 4.94197421929854, 'reg_alpha': 1.6085758038676226, 'reg_lambda': 1.3736055776618834}",69.0,8.0,,,,,0.06833657398708072,0.65665396067864,0.943909336678787,2.0,4.94197421929854,1.6085758038676226,1.3736055776618834,,
7,XGB,3,0.5275,0.5624,0.5094,0.5004,0.5566,0.5275,0.5103,"{'n_estimators': 348, 'max_depth': 6, 'learning_rate': 0.05550577422563183, 'subsample': 0.6166956590852573, 'colsample_bytree': 0.6942778339945374, 'min_child_weight': 10, 'gamma': 4.971509633507085, 'reg_alpha': 1.7359960620592725, 'reg_lambda': 1.3334558004677155}",348.0,6.0,,,,,0.05550577422563183,0.6166956590852573,0.6942778339945374,10.0,4.971509633507085,1.7359960620592725,1.3334558004677155,,
8,XGB,4,0.5598,0.5239,0.5191,0.5214,0.5568,0.5598,0.5582,"{'n_estimators': 151, 'max_depth': 9, 'learning_rate': 0.02728562852243899, 'subsample': 0.6412428239063799, 'colsample_bytree': 0.8116705270961978, 'min_child_weight': 6, 'gamma': 1.8359414022677574, 'reg_alpha': 0.16881639613153465, 'reg_lambda': 1.7830048238542007}",151.0,9.0,,,,,0.02728562852243899,0.6412428239063799,0.8116705270961978,6.0,1.8359414022677574,0.16881639613153465,1.7830048238542007,,
9,XGB,5,0.5648,0.6072,0.605,0.5455,0.7071,0.5648,0.5662,"{'n_estimators': 479, 'max_depth': 3, 'learning_rate': 0.023291250516610774, 'subsample': 0.764073074905895, 'colsample_bytree': 0.8238607514175271, 'min_child_weight': 7, 'gamma': 0.015987224077972664, 'reg_alpha': 1.2199512444217497, 'reg_lambda': 0.01339498393609767}",479.0,3.0,,,,,0.023291250516610774,0.764073074905895,0.8238607514175271,7.0,0.015987224077972664,1.2199512444217497,0.01339498393609767,,
10,DT,1,0.5707,0.3392,0.4082,0.3612,0.434,0.5707,0.4842,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'splitter': 'best'}",,2.0,20.0,4.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.4474,0.2944,0.4724,0.3608,0.2736,0.4474,0.3378,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'random'}",,2.0,19.0,9.0,log2,,,,,,,,,gini,random
12,DT,3,0.4679,0.3121,0.4384,0.3646,0.3333,0.4679,0.3892,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'splitter': 'random'}",,1.0,10.0,8.0,sqrt,,,,,,,,,gini,random
13,DT,4,0.4833,0.374,0.422,0.3831,0.4505,0.4833,0.4564,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'log2', 'splitter': 'best'}",,5.0,10.0,3.0,log2,,,,,,,,,gini,best
14,DT,5,0.4265,0.4404,0.4426,0.3906,0.5174,0.4265,0.4082,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'splitter': 'random'}",,3.0,11.0,4.0,sqrt,,,,,,,,,gini,random
15,RF,MEAN,0.5403,0.5228,0.5107,0.4822,0.5599,0.5403,0.5127,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0658,0.0717,0.046,0.0617,0.0986,0.0658,0.0897,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.535,0.5344,0.5252,0.4965,0.5629,0.535,0.5139,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0428,0.0658,0.0461,0.0585,0.0972,0.0428,0.0783,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.4792,0.352,0.4367,0.3721,0.4018,0.4792,0.4152,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0555,0.0578,0.0242,0.0138,0.0973,0.0555,0.0574,N/A,,,,,,,,,,,,,,,
