,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.4887,409.0,3.0,19.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.4839,455.0,3.0,17.0,10.0,sqrt,False,,,,,,,,,
2,RF,3,0.5315,433.0,15.0,4.0,9.0,,True,,,,,,,,,
3,RF,4,0.5612,416.0,5.0,9.0,10.0,log2,False,,,,,,,,,
4,RF,5,0.6586,143.0,5.0,17.0,10.0,,True,,,,,,,,,
5,XGB,1,0.5189,497.0,5.0,,,,,0.07486191145946418,0.8773661636418324,0.6699117964731666,4.0,4.444253028059203,1.8302706423325932,0.14714366708004473,,
6,XGB,2,0.5403,281.0,8.0,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
7,XGB,3,0.5361,154.0,10.0,,,,,0.23796790723092823,0.6634357958393464,0.7813438016356016,5.0,3.56838082919581,0.010917150754625737,1.1928294472408008,,
8,XGB,4,0.5567,222.0,3.0,,,,,0.12155739906600938,0.6703777471472729,0.769315045951851,9.0,2.9850934304049366,1.823184483016095,1.1536707461199618,,
9,XGB,5,0.6586,376.0,5.0,,,,,0.0942708125988409,0.6713491229991461,0.7101750541920466,2.0,4.610053904047011,1.8111968211607752,1.6883143950218236,,
10,DT,1,0.4635,,3.0,14.0,5.0,log2,,,,,,,,,gini,best
11,DT,2,0.5027,,3.0,19.0,5.0,,,,,,,,,,entropy,best
12,DT,3,0.4569,,5.0,16.0,7.0,log2,,,,,,,,,gini,best
13,DT,4,0.4164,,3.0,6.0,5.0,sqrt,,,,,,,,,gini,best
14,DT,5,0.6064,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.5448,,,,,,,,,,,,,,,
16,RF,STD,0.0637,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5621,,,,,,,,,,,,,,,
18,XGB,STD,0.0497,,,,,,,,,,,,,,,
19,DT,MEAN,0.4892,,,,,,,,,,,,,,,
20,DT,STD,0.0647,,,,,,,,,,,,,,,
