,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.609,190.0,5.0,8.0,9.0,,True,,,,,,,,,
1,RF,2,0.6271,394.0,12.0,2.0,10.0,,True,,,,,,,,,
2,RF,3,0.4872,419.0,12.0,12.0,1.0,sqrt,True,,,,,,,,,
3,RF,4,0.5926,297.0,15.0,14.0,9.0,log2,True,,,,,,,,,
4,RF,5,0.5455,90.0,7.0,4.0,7.0,,True,,,,,,,,,
5,XGB,1,0.594,479.0,10.0,,,,,0.02348130822266852,0.6071847502459278,0.8262452362725613,7.0,1.338413443561857,0.7849057842052647,1.337848814118202,,
6,XGB,2,0.6186,198.0,7.0,,,,,0.1486488878256435,0.820203642992321,0.7006370428783895,1.0,2.1735511499039046,1.6880753163830369,1.3196581093913775,,
7,XGB,3,0.4936,256.0,8.0,,,,,0.06577759260987599,0.6686639884557615,0.9643200809883948,7.0,2.255780394484643,1.2192208171215513,1.5114273855149083,,
8,XGB,4,0.6235,217.0,4.0,,,,,0.015831331953673075,0.6480417000686547,0.6805840453993232,3.0,0.007250058963767181,1.483736390195674,1.5094472271134705,,
9,XGB,5,0.5682,452.0,9.0,,,,,0.03964323779340515,0.7075496061281158,0.7437106771256741,4.0,1.5972733117451898,1.314483132775155,1.8118355664926429,,
10,DT,1,0.6015,,2.0,2.0,4.0,,,,,,,,,,entropy,best
11,DT,2,0.5169,,2.0,20.0,10.0,sqrt,,,,,,,,,gini,best
12,DT,3,0.3718,,16.0,12.0,8.0,log2,,,,,,,,,entropy,random
13,DT,4,0.5864,,3.0,17.0,9.0,,,,,,,,,,gini,best
14,DT,5,0.4727,,16.0,13.0,10.0,,,,,,,,,,entropy,random
15,RF,MEAN,0.5723,,,,,,,,,,,,,,,
16,RF,STD,0.0505,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5796,,,,,,,,,,,,,,,
18,XGB,STD,0.0473,,,,,,,,,,,,,,,
19,DT,MEAN,0.5099,,,,,,,,,,,,,,,
20,DT,STD,0.0834,,,,,,,,,,,,,,,
