,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.642,0.6287,0.5655,0.583,0.6368,0.642,0.6297,0.7339,0.785,"{'n_estimators': 305, 'max_depth': 13, 'min_samples_split': 13, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': True}",0.5225,0.4793,0.5,0.6964,0.6744,0.3973,0.5,0.7589,0.6892,0.8199,0.7489,0.7463,305.0,13.0,13.0,9.0,log2,True,,,,,,,,,
1,RF,2,0.5465,0.5378,0.5322,0.473,0.5613,0.5465,0.5037,0.6951,0.6941,"{'n_estimators': 217, 'max_depth': 18, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",0.6511,0.6391,0.6451,0.6967,0.5116,0.114,0.1864,0.5808,0.4507,0.8436,0.5875,0.808,217.0,18.0,2.0,9.0,sqrt,False,,,,,,,,,
2,RF,3,0.4935,0.4969,0.4564,0.4596,0.5052,0.4935,0.4867,0.6549,0.6738,"{'n_estimators': 70, 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",0.4397,0.6182,0.5139,0.6731,0.4889,0.2651,0.3438,0.6585,0.5622,0.486,0.5213,0.6331,70.0,5.0,16.0,3.0,log2,True,,,,,,,,,
3,RF,4,0.5445,0.474,0.4807,0.4655,0.5134,0.5445,0.5201,0.7021,0.7209,"{'n_estimators': 294, 'max_depth': 6, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': False}",0.5,0.6116,0.5502,0.7352,0.2895,0.1341,0.1833,0.6381,0.6324,0.6964,0.6629,0.7331,294.0,6.0,12.0,7.0,sqrt,False,,,,,,,,,
4,RF,5,0.6095,0.6295,0.5619,0.5542,0.6256,0.6095,0.5833,0.7853,0.79,"{'n_estimators': 360, 'max_depth': 6, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True}",0.54,0.609,0.5724,0.7492,0.7105,0.25,0.3699,0.782,0.6379,0.8268,0.7202,0.8246,360.0,6.0,4.0,7.0,,True,,,,,,,,,
5,XGB,1,0.5753,0.5406,0.5247,0.531,0.5708,0.5753,0.572,0.7135,0.7535,"{'n_estimators': 82, 'max_depth': 5, 'learning_rate': 0.0667661054535584, 'subsample': 0.6608574162674525, 'colsample_bytree': 0.8930956266876056, 'min_child_weight': 3, 'gamma': 1.9330345722503972, 'reg_alpha': 1.392206720078846, 'reg_lambda': 0.012187371902128707}",0.4672,0.4711,0.4691,0.6783,0.5,0.411,0.4511,0.7517,0.6547,0.6919,0.6728,0.7104,82.0,5.0,,,,,0.0667661054535584,0.6608574162674525,0.8930956266876056,3.0,1.9330345722503972,1.392206720078846,0.012187371902128707,,
6,XGB,2,0.5422,0.5691,0.5309,0.4795,0.5883,0.5422,0.5081,0.6969,0.6884,"{'n_estimators': 311, 'max_depth': 8, 'learning_rate': 0.04198967540001774, 'subsample': 0.7096594616554849, 'colsample_bytree': 0.8730206243124292, 'min_child_weight': 9, 'gamma': 2.7876006108727758, 'reg_alpha': 0.9990902644970441, 'reg_lambda': 0.29253451442018547}",0.6548,0.6208,0.6374,0.6887,0.6222,0.1451,0.2353,0.5995,0.4302,0.8268,0.566,0.8026,311.0,8.0,,,,,0.04198967540001774,0.7096594616554849,0.8730206243124292,9.0,2.7876006108727758,0.9990902644970441,0.29253451442018547,,
7,XGB,3,0.5325,0.5157,0.513,0.512,0.5356,0.5325,0.5315,0.6652,0.6728,"{'n_estimators': 130, 'max_depth': 3, 'learning_rate': 0.03340814733491021, 'subsample': 0.7383708475154821, 'colsample_bytree': 0.6957541503344541, 'min_child_weight': 2, 'gamma': 2.329265144399172, 'reg_alpha': 0.384838099632687, 'reg_lambda': 1.562865107130278}",0.5102,0.6061,0.554,0.6781,0.4474,0.4096,0.4277,0.6822,0.5895,0.5234,0.5545,0.6355,130.0,3.0,,,,,0.03340814733491021,0.7383708475154821,0.6957541503344541,2.0,2.329265144399172,0.384838099632687,1.562865107130278,,
8,XGB,4,0.5391,0.4858,0.4802,0.4749,0.5156,0.5391,0.5209,0.6962,0.7119,"{'n_estimators': 164, 'max_depth': 12, 'learning_rate': 0.19985884798535716, 'subsample': 0.7443788323400671, 'colsample_bytree': 0.945791557453664, 'min_child_weight': 7, 'gamma': 4.992483437747104, 'reg_alpha': 1.6304773907033747, 'reg_lambda': 1.2406982229762582}",0.5159,0.5372,0.5263,0.7242,0.3404,0.1951,0.2481,0.6575,0.601,0.7083,0.6503,0.7071,164.0,12.0,,,,,0.19985884798535716,0.7443788323400671,0.945791557453664,7.0,4.992483437747104,1.6304773907033747,1.2406982229762582,,
9,XGB,5,0.6357,0.6747,0.5991,0.6033,0.6628,0.6357,0.6217,0.7834,0.7961,"{'n_estimators': 420, 'max_depth': 4, 'learning_rate': 0.04323444823345436, 'subsample': 0.933345656652941, 'colsample_bytree': 0.9616633157205492, 'min_child_weight': 9, 'gamma': 3.1370991330748375, 'reg_alpha': 0.07260962646423663, 'reg_lambda': 1.3424739347011032}",0.5772,0.6466,0.6099,0.7639,0.8085,0.3519,0.4903,0.7733,0.6384,0.7989,0.7097,0.8131,420.0,4.0,,,,,0.04323444823345436,0.933345656652941,0.9616633157205492,9.0,3.1370991330748375,0.07260962646423663,1.3424739347011032,,
10,DT,1,0.5358,0.4674,0.4667,0.4666,0.531,0.5358,0.533,0.6549,0.7055,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'splitter': 'best'}",0.4273,0.3884,0.4069,0.6136,0.3067,0.3151,0.3108,0.6543,0.6682,0.6967,0.6821,0.6967,,5.0,9.0,7.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.4363,0.4614,0.4782,0.3907,0.4939,0.4363,0.3923,0.6541,0.6215,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'splitter': 'best'}",0.622,0.3119,0.4155,0.5971,0.3836,0.1451,0.2105,0.589,0.3788,0.9777,0.546,0.7763,,6.0,10.0,9.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.5022,0.4719,0.4345,0.4242,0.4997,0.5022,0.482,0.6256,0.6575,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 15, 'min_samples_leaf': 8, 'max_features': None, 'splitter': 'random'}",0.443,0.6364,0.5224,0.6408,0.3846,0.1205,0.1835,0.5926,0.5879,0.5467,0.5666,0.6433,,3.0,15.0,8.0,,,,,,,,,,gini,random
13,DT,4,0.4744,0.4105,0.3859,0.3578,0.4505,0.4744,0.4187,0.6011,0.6451,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_features': None, 'splitter': 'best'}",0.5532,0.2149,0.3095,0.6602,0.16,0.0976,0.1212,0.5064,0.5182,0.8452,0.6425,0.6366,,2.0,9.0,10.0,,,,,,,,,,entropy,best
14,DT,5,0.5214,0.4812,0.4635,0.4425,0.4938,0.5214,0.48,0.6869,0.7004,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': None, 'splitter': 'random'}",0.5,0.4361,0.4659,0.6737,0.3947,0.1389,0.2055,0.6742,0.5489,0.8156,0.6562,0.7127,,5.0,11.0,1.0,,,,,,,,,,gini,random
15,RF,MEAN,0.5672,0.5534,0.5193,0.5071,0.5685,0.5672,0.5447,0.7143,0.7328,N/A,0.5307,0.5914,0.5563,0.7101,0.535,0.2321,0.3167,0.6837,0.5945,0.7345,0.6482,0.749,,,,,,,,,,,,,,,
16,RF,STD,0.0587,0.0728,0.0489,0.0573,0.0613,0.0587,0.0599,0.0487,0.0527,N/A,0.0773,0.0638,0.0573,0.0312,0.1682,0.1143,0.1341,0.0846,0.0922,0.1508,0.094,0.0756,,,,,,,,,,,,,,,
17,XGB,MEAN,0.565,0.5572,0.5296,0.5201,0.5746,0.565,0.5508,0.711,0.7245,N/A,0.5451,0.5764,0.5593,0.7066,0.5437,0.3025,0.3705,0.6928,0.5828,0.7099,0.6307,0.7337,,,,,,,,,,,,,,,
18,XGB,STD,0.0429,0.0725,0.0435,0.052,0.057,0.0429,0.0463,0.0441,0.0503,N/A,0.0728,0.0714,0.0669,0.0372,0.1794,0.1245,0.1198,0.0707,0.0893,0.1191,0.0678,0.0741,,,,,,,,,,,,,,,
