,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6682,0.6532,0.6016,0.6169,0.6633,0.6682,0.6586,0.7558,0.7987,"{'n_estimators': 79, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': True}",0.6471,0.6027,0.6241,0.748,0.625,0.3947,0.4839,0.7616,0.6875,0.8073,0.7426,0.7579,79.0,10.0,10.0,7.0,sqrt,True,,,,,,,,,
1,RF,2,0.5806,0.6254,0.5586,0.5247,0.6184,0.5806,0.5388,0.7217,0.7317,"{'n_estimators': 65, 'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.5588,0.7308,0.6333,0.7391,0.7368,0.1707,0.2772,0.6141,0.5806,0.7742,0.6636,0.812,65.0,7.0,8.0,4.0,log2,True,,,,,,,,,
2,RF,3,0.4976,0.5051,0.4699,0.4435,0.5078,0.4976,0.4647,0.6295,0.6454,"{'n_estimators': 104, 'max_depth': 17, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': False}",0.5584,0.5309,0.5443,0.6209,0.5,0.1429,0.2222,0.5296,0.4569,0.7361,0.5638,0.7379,104.0,17.0,10.0,10.0,log2,False,,,,,,,,,
3,RF,4,0.4338,0.4003,0.4088,0.3989,0.4547,0.4338,0.4409,0.5996,0.6184,"{'n_estimators': 207, 'max_depth': 7, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}",0.4368,0.3654,0.3979,0.5701,0.2188,0.3415,0.2667,0.6151,0.5455,0.5197,0.5323,0.6134,207.0,7.0,12.0,2.0,,True,,,,,,,,,
4,RF,5,0.5337,0.4623,0.5138,0.4638,0.4722,0.5337,0.48,0.7418,0.7439,"{'n_estimators': 433, 'max_depth': 18, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False}",0.5258,0.7286,0.6108,0.7874,0.2632,0.0794,0.122,0.6243,0.5978,0.7333,0.6587,0.8136,433.0,18.0,5.0,4.0,log2,False,,,,,,,,,
5,XGB,1,0.6636,0.6336,0.5856,0.5985,0.6553,0.6636,0.6508,0.7493,0.802,"{'n_estimators': 431, 'max_depth': 7, 'learning_rate': 0.20805757599000108, 'subsample': 0.7391658761704627, 'colsample_bytree': 0.754144126069669, 'min_child_weight': 7, 'gamma': 4.369794306410908, 'reg_alpha': 0.7842098879169747, 'reg_lambda': 0.026358428761846797}",0.6825,0.589,0.6324,0.7664,0.5417,0.3421,0.4194,0.7315,0.6767,0.8257,0.7438,0.7499,431.0,7.0,,,,,0.20805757599000108,0.7391658761704627,0.754144126069669,7.0,4.369794306410908,0.7842098879169747,0.026358428761846797,,
6,XGB,2,0.552,0.5345,0.5433,0.5334,0.5405,0.552,0.541,0.733,0.738,"{'n_estimators': 267, 'max_depth': 7, 'learning_rate': 0.04939749298203958, 'subsample': 0.8514107577606861, 'colsample_bytree': 0.7405157954124179, 'min_child_weight': 8, 'gamma': 0.5118504609262433, 'reg_alpha': 0.4937700631227402, 'reg_lambda': 1.5698955866432582}",0.5816,0.5481,0.5644,0.7131,0.4286,0.3293,0.3724,0.6616,0.5932,0.7527,0.6635,0.8243,267.0,7.0,,,,,0.04939749298203958,0.8514107577606861,0.7405157954124179,8.0,0.5118504609262433,0.4937700631227402,1.5698955866432582,,
7,XGB,3,0.5359,0.5306,0.5194,0.5107,0.5367,0.5359,0.523,0.6413,0.6567,"{'n_estimators': 277, 'max_depth': 11, 'learning_rate': 0.02006157036015353, 'subsample': 0.6816034651003954, 'colsample_bytree': 0.6449321369764893, 'min_child_weight': 9, 'gamma': 2.7876006108727758, 'reg_alpha': 0.8894952571489902, 'reg_lambda': 1.546279928946067}",0.5915,0.5185,0.5526,0.6236,0.4857,0.3036,0.3736,0.5568,0.5146,0.7361,0.6057,0.7434,277.0,11.0,,,,,0.02006157036015353,0.6816034651003954,0.6449321369764893,9.0,2.7876006108727758,0.8894952571489902,1.546279928946067,,
8,XGB,4,0.4559,0.4197,0.4234,0.4125,0.4797,0.4559,0.4609,0.6048,0.6263,"{'n_estimators': 109, 'max_depth': 10, 'learning_rate': 0.045153967365739275, 'subsample': 0.6968237488986522, 'colsample_bytree': 0.7644864154584593, 'min_child_weight': 6, 'gamma': 2.5235713804760076, 'reg_alpha': 0.9148346700690537, 'reg_lambda': 0.21875334090457021}",0.4865,0.3462,0.4045,0.6015,0.2121,0.3415,0.2617,0.5963,0.5606,0.5827,0.5714,0.6166,109.0,10.0,,,,,0.045153967365739275,0.6968237488986522,0.7644864154584593,6.0,2.5235713804760076,0.9148346700690537,0.21875334090457021,,
9,XGB,5,0.5337,0.5143,0.5177,0.4853,0.5178,0.5337,0.497,0.7346,0.7307,"{'n_estimators': 244, 'max_depth': 5, 'learning_rate': 0.08012737503998542, 'subsample': 0.6557975442608167, 'colsample_bytree': 0.7168578594140873, 'min_child_weight': 4, 'gamma': 2.28034992108518, 'reg_alpha': 1.5703519227860272, 'reg_lambda': 0.39934756431671947}",0.5155,0.7143,0.5988,0.7682,0.4545,0.1587,0.2353,0.6288,0.573,0.68,0.622,0.8067,244.0,5.0,,,,,0.08012737503998542,0.6557975442608167,0.7168578594140873,4.0,2.28034992108518,1.5703519227860272,0.39934756431671947,,
