,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.5762,0.6282,0.6135,0.5719,0.6528,0.5762,0.5643,0.766,0.4045,0.5294,0.4904,0.8226,0.6145,"{'n_estimators': 249, 'max_depth': 4, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': False}",249.0,4.0,12.0,2.0,log2,False,,,,,,,,,
1,RF,2,0.7732,0.7094,0.715,0.712,0.7764,0.7732,0.7747,0.5676,0.5915,0.5793,0.8513,0.8384,0.8448,"{'n_estimators': 307, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}",307.0,4.0,15.0,4.0,,True,,,,,,,,,
2,RF,3,0.6786,0.6757,0.661,0.662,0.6769,0.6786,0.6716,0.6667,0.5246,0.5872,0.6848,0.7975,0.7368,"{'n_estimators': 456, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",456.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
3,RF,4,0.7372,0.7426,0.7613,0.7336,0.7814,0.7372,0.7419,0.5987,0.8505,0.7027,0.8865,0.672,0.7645,"{'n_estimators': 241, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}",241.0,4.0,19.0,4.0,,True,,,,,,,,,
4,RF,5,0.7347,0.7335,0.737,0.7333,0.7405,0.7347,0.7357,0.6771,0.7558,0.7143,0.79,0.7182,0.7524,"{'n_estimators': 271, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True}",271.0,4.0,16.0,3.0,,True,,,,,,,,,
5,XGB,1,0.5497,0.6144,0.5935,0.5408,0.6397,0.5497,0.5294,0.7561,0.3483,0.4769,0.4727,0.8387,0.6047,"{'n_estimators': 360, 'max_depth': 8, 'learning_rate': 0.07630490127156113, 'subsample': 0.7282977034916852, 'colsample_bytree': 0.8231118187966076, 'min_child_weight': 2, 'gamma': 0.532819126765206, 'reg_alpha': 0.4921365627044161, 'reg_lambda': 0.8450621800641857}",360.0,8.0,,,,,0.07630490127156113,0.7282977034916852,0.8231118187966076,2.0,0.532819126765206,0.4921365627044161,0.8450621800641857,,
6,XGB,2,0.7955,0.7368,0.7346,0.7357,0.7946,0.7955,0.7951,0.6143,0.6056,0.6099,0.8593,0.8636,0.8615,"{'n_estimators': 467, 'max_depth': 10, 'learning_rate': 0.012219811160283485, 'subsample': 0.7218520073542559, 'colsample_bytree': 0.7705413902968903, 'min_child_weight': 2, 'gamma': 4.6041885418822, 'reg_alpha': 1.9949396569619464, 'reg_lambda': 1.245098664363596}",467.0,10.0,,,,,0.012219811160283485,0.7218520073542559,0.7705413902968903,2.0,4.6041885418822,1.9949396569619464,1.245098664363596,,
7,XGB,3,0.6786,0.6727,0.6713,0.6719,0.6775,0.6786,0.6779,0.6356,0.6148,0.625,0.7099,0.7278,0.7188,"{'n_estimators': 462, 'max_depth': 7, 'learning_rate': 0.15921728208236582, 'subsample': 0.8302077581968994, 'colsample_bytree': 0.7358910134170531, 'min_child_weight': 2, 'gamma': 4.518293128819064, 'reg_alpha': 1.7076233962472063, 'reg_lambda': 1.2004823295027718}",462.0,7.0,,,,,0.15921728208236582,0.8302077581968994,0.7358910134170531,2.0,4.518293128819064,1.7076233962472063,1.2004823295027718,,
8,XGB,4,0.7338,0.7307,0.7486,0.7279,0.7656,0.7338,0.7387,0.6014,0.8037,0.688,0.86,0.6935,0.7679,"{'n_estimators': 366, 'max_depth': 4, 'learning_rate': 0.021698698484948094, 'subsample': 0.8337377980053566, 'colsample_bytree': 0.7811766287781392, 'min_child_weight': 7, 'gamma': 4.172117642877876, 'reg_alpha': 1.98313311919638, 'reg_lambda': 1.006407233424485}",366.0,4.0,,,,,0.021698698484948094,0.8337377980053566,0.7811766287781392,7.0,4.172117642877876,1.98313311919638,1.006407233424485,,
9,XGB,5,0.7449,0.7415,0.7436,0.7422,0.7466,0.7449,0.7454,0.7,0.7326,0.7159,0.783,0.7545,0.7685,"{'n_estimators': 285, 'max_depth': 3, 'learning_rate': 0.018540549595890975, 'subsample': 0.7642493335137185, 'colsample_bytree': 0.7989851903953397, 'min_child_weight': 3, 'gamma': 4.718114863309929, 'reg_alpha': 1.6518382317576705, 'reg_lambda': 0.7764158782475581}",285.0,3.0,,,,,0.018540549595890975,0.7642493335137185,0.7989851903953397,3.0,4.718114863309929,1.6518382317576705,0.7764158782475581,,
10,DT,1,0.5894,0.5978,0.6003,0.5885,0.6153,0.5894,0.5919,0.6957,0.5393,0.6076,0.5,0.6613,0.5694,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.7546,0.7088,0.752,0.718,0.7957,0.7546,0.766,0.5248,0.7465,0.6163,0.8929,0.7576,0.8197,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",,3.0,20.0,7.0,log2,,,,,,,,,entropy,best
12,DT,3,0.6286,0.6406,0.6401,0.6286,0.6515,0.6286,0.6282,0.5563,0.7295,0.6312,0.725,0.5506,0.6259,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': None, 'splitter': 'best'}",,2.0,17.0,3.0,,,,,,,,,,entropy,best
13,DT,4,0.6826,0.7155,0.7242,0.6821,0.7627,0.6826,0.6856,0.5402,0.8785,0.669,0.8908,0.5699,0.6951,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
14,DT,5,0.7194,0.7177,0.7208,0.7177,0.7244,0.7194,0.7204,0.6632,0.7326,0.6961,0.7723,0.7091,0.7393,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 17, 'min_samples_leaf': 6, 'max_features': None, 'splitter': 'best'}",,2.0,17.0,6.0,,,,,,,,,,entropy,best
15,RF,MEAN,0.7,0.6979,0.6976,0.6826,0.7256,0.7,0.6976,0.6552,0.6254,0.6226,0.7406,0.7697,0.7426,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.077,0.0468,0.0598,0.0684,0.0583,0.077,0.0834,0.0771,0.1787,0.0816,0.1594,0.0716,0.0829,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7005,0.6992,0.6983,0.6837,0.7248,0.7005,0.6973,0.6615,0.621,0.6231,0.737,0.7756,0.7443,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.094,0.055,0.0664,0.0846,0.0642,0.094,0.1027,0.0651,0.1735,0.0927,0.1603,0.0728,0.0936,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.6749,0.6761,0.6875,0.667,0.7099,0.6749,0.6784,0.596,0.7253,0.644,0.7562,0.6497,0.6899,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0668,0.0542,0.0642,0.0571,0.0754,0.0668,0.0698,0.0778,0.121,0.0374,0.161,0.0887,0.0974,N/A,,,,,,,,,,,,,,,
