,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.527,0.5404,0.5383,0.5242,0.5453,0.527,0.521,0.5952,0.4132,0.4878,0.4855,0.6634,0.5607,"{'n_estimators': 447, 'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True}",447.0,3.0,9.0,7.0,,True,,,,,,,,,
1,RF,2,0.6977,0.684,0.7531,0.67,0.8163,0.6977,0.7201,0.4317,0.8587,0.5745,0.9363,0.6475,0.7655,"{'n_estimators': 354, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': False}",354.0,3.0,19.0,8.0,,False,,,,,,,,,
2,RF,3,0.6625,0.6762,0.6539,0.6478,0.6743,0.6625,0.6514,0.7143,0.4825,0.5759,0.638,0.8254,0.7197,"{'n_estimators': 394, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",394.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,
3,RF,4,0.6937,0.6951,0.7007,0.6919,0.7096,0.6937,0.6959,0.6082,0.7421,0.6686,0.7819,0.6592,0.7153,"{'n_estimators': 469, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",469.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,
4,RF,5,0.7781,0.7974,0.7822,0.776,0.8002,0.7781,0.7753,0.7129,0.9057,0.7978,0.8819,0.6588,0.7542,"{'n_estimators': 135, 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': False}",135.0,3.0,14.0,10.0,,False,,,,,,,,,
5,XGB,1,0.491,0.5111,0.5093,0.478,0.5155,0.491,0.4706,0.5606,0.3058,0.3957,0.4615,0.7129,0.5603,"{'n_estimators': 161, 'max_depth': 11, 'learning_rate': 0.051536500549364414, 'subsample': 0.8310728434128972, 'colsample_bytree': 0.9636703693123553, 'min_child_weight': 4, 'gamma': 2.9870313353299833, 'reg_alpha': 1.9148024888438644, 'reg_lambda': 0.8294134059272851}",161.0,11.0,,,,,0.051536500549364414,0.8310728434128972,0.9636703693123553,4.0,2.9870313353299833,1.9148024888438644,0.8294134059272851,,
6,XGB,2,0.7442,0.6681,0.6976,0.6775,0.7718,0.7442,0.7544,0.4706,0.6087,0.5308,0.8657,0.7864,0.8242,"{'n_estimators': 483, 'max_depth': 6, 'learning_rate': 0.012334908058927596, 'subsample': 0.9767468597751854, 'colsample_bytree': 0.8204561954021153, 'min_child_weight': 5, 'gamma': 4.98368075374295, 'reg_alpha': 1.7375863699933205, 'reg_lambda': 1.7310883983441585}",483.0,6.0,,,,,0.012334908058927596,0.9767468597751854,0.8204561954021153,5.0,4.98368075374295,1.7375863699933205,1.7310883983441585,,
7,XGB,3,0.6583,0.6633,0.652,0.6495,0.6624,0.6583,0.6523,0.6818,0.5263,0.5941,0.6447,0.7778,0.705,"{'n_estimators': 448, 'max_depth': 5, 'learning_rate': 0.014595740084542603, 'subsample': 0.7646944513303342, 'colsample_bytree': 0.7278922423975088, 'min_child_weight': 7, 'gamma': 4.591516909721552, 'reg_alpha': 1.9991183681841573, 'reg_lambda': 1.1495662000362536}",448.0,5.0,,,,,0.014595740084542603,0.7646944513303342,0.7278922423975088,7.0,4.591516909721552,1.9991183681841573,1.1495662000362536,,
8,XGB,4,0.6937,0.7003,0.7052,0.693,0.7167,0.6937,0.6955,0.6029,0.7736,0.6777,0.7978,0.6368,0.7082,"{'n_estimators': 299, 'max_depth': 3, 'learning_rate': 0.013809176019878846, 'subsample': 0.6577780577663715, 'colsample_bytree': 0.6465255811631712, 'min_child_weight': 3, 'gamma': 4.9908772787626186, 'reg_alpha': 1.2826122543957705, 'reg_lambda': 1.3752224749575765}",299.0,3.0,,,,,0.013809176019878846,0.6577780577663715,0.6465255811631712,3.0,4.9908772787626186,1.2826122543957705,1.3752224749575765,,
9,XGB,5,0.7538,0.7607,0.7508,0.7505,0.7595,0.7538,0.7514,0.7955,0.6604,0.7216,0.7259,0.8412,0.7793,"{'n_estimators': 476, 'max_depth': 9, 'learning_rate': 0.029323105618991638, 'subsample': 0.6071847502459278, 'colsample_bytree': 0.9924283304357214, 'min_child_weight': 7, 'gamma': 4.865188803848123, 'reg_alpha': 1.2481670543447305, 'reg_lambda': 0.07959921215402954}",476.0,9.0,,,,,0.029323105618991638,0.6071847502459278,0.9924283304357214,7.0,4.865188803848123,1.2481670543447305,0.07959921215402954,,
