,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7417,0.74,0.7406,0.7402,0.7421,0.7417,0.7418,0.7143,0.7273,0.7207,0.7656,0.7538,0.7597,"{'n_estimators': 92, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",92.0,3.0,10.0,1.0,sqrt,True,,,,,,,,,
1,RF,2,0.7591,0.7483,0.6994,0.7108,0.7545,0.7591,0.7462,0.7273,0.5,0.5926,0.7692,0.8989,0.829,"{'n_estimators': 476, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False}",476.0,3.0,7.0,4.0,log2,False,,,,,,,,,
2,RF,3,0.6774,0.7021,0.6886,0.6744,0.7091,0.6774,0.672,0.7941,0.54,0.6429,0.6102,0.8372,0.7059,"{'n_estimators': 462, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}",462.0,3.0,20.0,2.0,,True,,,,,,,,,
3,RF,4,0.6481,0.673,0.6786,0.6477,0.7089,0.6481,0.6508,0.5238,0.8049,0.6346,0.8222,0.5522,0.6607,"{'n_estimators': 247, 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",247.0,4.0,17.0,9.0,sqrt,False,,,,,,,,,
4,RF,5,0.768,0.7465,0.7535,0.7495,0.7722,0.768,0.7696,0.6596,0.7045,0.6813,0.8333,0.8025,0.8176,"{'n_estimators': 137, 'max_depth': 14, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': False}",137.0,14.0,7.0,4.0,sqrt,False,,,,,,,,,
5,XGB,1,0.675,0.6726,0.672,0.6722,0.6746,0.675,0.6747,0.6481,0.6364,0.6422,0.697,0.7077,0.7023,"{'n_estimators': 476, 'max_depth': 9, 'learning_rate': 0.02384124679699214, 'subsample': 0.9729161367647149, 'colsample_bytree': 0.8076576013037925, 'min_child_weight': 7, 'gamma': 4.865417857436737, 'reg_alpha': 1.199831273625152, 'reg_lambda': 1.315924369942073}",476.0,9.0,,,,,0.02384124679699214,0.9729161367647149,0.8076576013037925,7.0,4.865417857436737,1.199831273625152,1.315924369942073,,
6,XGB,2,0.7664,0.7665,0.7003,0.7132,0.7665,0.7664,0.7502,0.7667,0.4792,0.5897,0.7664,0.9213,0.8367,"{'n_estimators': 325, 'max_depth': 12, 'learning_rate': 0.0253021606894538, 'subsample': 0.6186458766901913, 'colsample_bytree': 0.6032100349746359, 'min_child_weight': 1, 'gamma': 4.75230560116798, 'reg_alpha': 1.7392421525851762, 'reg_lambda': 1.8276761898046916}",325.0,12.0,,,,,0.0253021606894538,0.6186458766901913,0.6032100349746359,1.0,4.75230560116798,1.7392421525851762,1.8276761898046916,,
7,XGB,3,0.5914,0.6431,0.6102,0.5736,0.6512,0.5914,0.567,0.75,0.36,0.4865,0.5362,0.8605,0.6607,"{'n_estimators': 337, 'max_depth': 7, 'learning_rate': 0.19178540972667618, 'subsample': 0.8809192537925273, 'colsample_bytree': 0.6327381995694799, 'min_child_weight': 1, 'gamma': 0.41793109132985834, 'reg_alpha': 0.34710650187239867, 'reg_lambda': 1.0357647096994267}",337.0,7.0,,,,,0.19178540972667618,0.8809192537925273,0.6327381995694799,1.0,0.41793109132985834,0.34710650187239867,1.0357647096994267,,
8,XGB,4,0.6574,0.6792,0.686,0.6567,0.7145,0.6574,0.6605,0.5323,0.8049,0.6408,0.8261,0.5672,0.6726,"{'n_estimators': 381, 'max_depth': 4, 'learning_rate': 0.019847338137917225, 'subsample': 0.9563624876978447, 'colsample_bytree': 0.8927937416625484, 'min_child_weight': 3, 'gamma': 4.567426695951508, 'reg_alpha': 1.617200145324437, 'reg_lambda': 1.2777192444248844}",381.0,4.0,,,,,0.019847338137917225,0.9563624876978447,0.8927937416625484,3.0,4.567426695951508,1.617200145324437,1.2777192444248844,,
9,XGB,5,0.76,0.742,0.7577,0.7463,0.7737,0.76,0.7638,0.6346,0.75,0.6875,0.8493,0.7654,0.8052,"{'n_estimators': 118, 'max_depth': 8, 'learning_rate': 0.02986829042381973, 'subsample': 0.7599669359815587, 'colsample_bytree': 0.8250122810664506, 'min_child_weight': 1, 'gamma': 4.847256739455992, 'reg_alpha': 1.2143685480664512, 'reg_lambda': 1.3761977960261167}",118.0,8.0,,,,,0.02986829042381973,0.7599669359815587,0.8250122810664506,1.0,4.847256739455992,1.2143685480664512,1.3761977960261167,,
10,DT,1,0.625,0.7344,0.651,0.5982,0.7496,0.625,0.5895,0.5521,0.9636,0.702,0.9167,0.3385,0.4944,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 17, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'best'}",,1.0,17.0,8.0,log2,,,,,,,,,gini,best
11,DT,2,0.6715,0.6315,0.6176,0.6211,0.6593,0.6715,0.6624,0.5385,0.4375,0.4828,0.7245,0.7978,0.7594,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 19, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'random'}",,2.0,19.0,8.0,log2,,,,,,,,,gini,random
12,DT,3,0.6559,0.6644,0.6621,0.6556,0.6689,0.6559,0.6547,0.725,0.58,0.6444,0.6038,0.7442,0.6667,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'splitter': 'best'}",,2.0,16.0,6.0,sqrt,,,,,,,,,entropy,best
13,DT,4,0.6389,0.6914,0.6853,0.6386,0.734,0.6389,0.6362,0.5143,0.878,0.6486,0.8684,0.4925,0.6286,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 14, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'splitter': 'best'}",,2.0,14.0,8.0,sqrt,,,,,,,,,entropy,best
14,DT,5,0.72,0.752,0.7684,0.7188,0.8083,0.72,0.7242,0.5616,0.9318,0.7009,0.9423,0.6049,0.7368,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 'log2', 'splitter': 'best'}",,3.0,20.0,3.0,log2,,,,,,,,,entropy,best
15,RF,MEAN,0.7189,0.722,0.7121,0.7045,0.7374,0.7189,0.7161,0.6838,0.6553,0.6544,0.7601,0.7689,0.7546,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0531,0.0332,0.033,0.0432,0.028,0.0531,0.0516,0.1015,0.1298,0.0486,0.0892,0.1322,0.072,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.69,0.7007,0.6852,0.6724,0.7161,0.69,0.6832,0.6663,0.6061,0.6093,0.735,0.7644,0.7355,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0737,0.0515,0.0531,0.0654,0.0543,0.0737,0.0792,0.0954,0.1856,0.0769,0.1258,0.1378,0.0802,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.6623,0.6947,0.6769,0.6465,0.724,0.6623,0.6534,0.5783,0.7582,0.6357,0.8111,0.5956,0.6572,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0367,0.0495,0.0567,0.0457,0.0614,0.0367,0.0487,0.0839,0.2352,0.0898,0.1433,0.1869,0.1051,N/A,,,,,,,,,,,,,,,
