,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.8044,0.7982,0.813,0.8001,0.8194,0.8044,0.8068,0.7048,0.8506,0.7708,0.8917,0.7754,0.8295,"{'n_estimators': 104, 'max_depth': 3, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': False}",104.0,3.0,4.0,4.0,sqrt,False,,,,,,,,,
1,RF,2,0.5815,0.5637,0.5658,0.5639,0.5898,0.5815,0.5849,0.4545,0.5,0.4762,0.6729,0.6316,0.6516,"{'n_estimators': 53, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': False}",53.0,4.0,16.0,5.0,log2,False,,,,,,,,,
2,RF,3,0.6917,0.7303,0.7267,0.6916,0.7636,0.6917,0.6905,0.5705,0.8947,0.6967,0.8901,0.5586,0.6864,"{'n_estimators': 379, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",379.0,3.0,19.0,9.0,sqrt,False,,,,,,,,,
3,RF,4,0.7143,0.7136,0.7143,0.7137,0.7152,0.7143,0.7145,0.6881,0.7143,0.7009,0.7391,0.7143,0.7265,"{'n_estimators': 440, 'max_depth': 4, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': False}",440.0,4.0,10.0,10.0,,False,,,,,,,,,
4,RF,5,0.6873,0.6938,0.6966,0.6869,0.706,0.6873,0.6884,0.6081,0.7627,0.6767,0.7795,0.6306,0.6972,"{'n_estimators': 331, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}",331.0,3.0,16.0,4.0,,True,,,,,,,,,
5,XGB,1,0.7378,0.7274,0.7055,0.7114,0.7336,0.7378,0.7312,0.7,0.5632,0.6242,0.7548,0.8478,0.7986,"{'n_estimators': 445, 'max_depth': 9, 'learning_rate': 0.18590112816357693, 'subsample': 0.9422119928137255, 'colsample_bytree': 0.9969939040975792, 'min_child_weight': 5, 'gamma': 4.436591978827713, 'reg_alpha': 0.8065694618859992, 'reg_lambda': 0.11194068852066863}",445.0,9.0,,,,,0.18590112816357693,0.9422119928137255,0.9969939040975792,5.0,4.436591978827713,0.8065694618859992,0.11194068852066863,,
6,XGB,2,0.5924,0.5607,0.558,0.5585,0.5848,0.5924,0.5877,0.4603,0.4143,0.4361,0.6612,0.7018,0.6809,"{'n_estimators': 281, 'max_depth': 8, 'learning_rate': 0.011711509955524094, 'subsample': 0.8430179407605753, 'colsample_bytree': 0.6682096494749166, 'min_child_weight': 1, 'gamma': 4.7444276862666666, 'reg_alpha': 1.9312640661491187, 'reg_lambda': 1.6167946962329223}",281.0,8.0,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
7,XGB,3,0.6542,0.6823,0.6829,0.6542,0.7116,0.6542,0.6545,0.5417,0.8211,0.6527,0.8229,0.5448,0.6556,"{'n_estimators': 107, 'max_depth': 3, 'learning_rate': 0.01005680683736556, 'subsample': 0.7386708712175597, 'colsample_bytree': 0.659490377628717, 'min_child_weight': 1, 'gamma': 1.3528999258791654, 'reg_alpha': 0.6582468131080965, 'reg_lambda': 1.362043214843325}",107.0,3.0,,,,,0.01005680683736556,0.7386708712175597,0.659490377628717,1.0,1.3528999258791654,0.6582468131080965,1.362043214843325,,
8,XGB,4,0.7366,0.7377,0.7325,0.7333,0.7373,0.7366,0.7351,0.7447,0.6667,0.7035,0.7308,0.7983,0.7631,"{'n_estimators': 77, 'max_depth': 8, 'learning_rate': 0.01002578097404717, 'subsample': 0.970887667571786, 'colsample_bytree': 0.7873340166268457, 'min_child_weight': 7, 'gamma': 3.6076033522195443, 'reg_alpha': 0.418043240062113, 'reg_lambda': 1.5219368841754097}",77.0,8.0,,,,,0.01002578097404717,0.970887667571786,0.7873340166268457,7.0,3.6076033522195443,0.418043240062113,1.5219368841754097,,
9,XGB,5,0.6618,0.6626,0.6659,0.6604,0.6729,0.6618,0.6635,0.5899,0.6949,0.6381,0.7353,0.6369,0.6826,"{'n_estimators': 171, 'max_depth': 10, 'learning_rate': 0.012739865510100605, 'subsample': 0.6398076676151561, 'colsample_bytree': 0.6809343605923748, 'min_child_weight': 8, 'gamma': 1.201989465938507, 'reg_alpha': 1.5050823245157434, 'reg_lambda': 0.5695827708817669}",171.0,10.0,,,,,0.012739865510100605,0.6398076676151561,0.6809343605923748,8.0,1.201989465938507,1.5050823245157434,0.5695827708817669,,
10,DT,1,0.7511,0.764,0.7759,0.75,0.7953,0.7511,0.7538,0.626,0.8851,0.7333,0.902,0.6667,0.7667,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",,3.0,20.0,7.0,log2,,,,,,,,,entropy,best
11,DT,2,0.538,0.5241,0.5252,0.5227,0.552,0.538,0.5432,0.4074,0.4714,0.4371,0.6408,0.5789,0.6083,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'log2', 'splitter': 'random'}",,9.0,10.0,6.0,log2,,,,,,,,,entropy,random
12,DT,3,0.5542,0.7006,0.6256,0.5331,0.7488,0.5542,0.5124,0.4694,0.9684,0.6323,0.9318,0.2828,0.4339,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 17, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'best'}",,1.0,17.0,8.0,log2,,,,,,,,,gini,best
13,DT,4,0.7188,0.7328,0.7095,0.708,0.73,0.7188,0.7115,0.7763,0.5619,0.6519,0.6892,0.8571,0.764,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 10, 'max_features': 'log2', 'splitter': 'best'}",,3.0,16.0,10.0,log2,,,,,,,,,gini,best
14,DT,5,0.6836,0.6868,0.6903,0.6828,0.6979,0.6836,0.6851,0.6084,0.7373,0.6667,0.7652,0.6433,0.699,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'best'}",,3.0,19.0,9.0,,,,,,,,,,gini,best
15,RF,MEAN,0.6958,0.6999,0.7033,0.6912,0.7188,0.6958,0.697,0.6052,0.7445,0.6643,0.7947,0.6621,0.7182,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0795,0.0857,0.089,0.0845,0.0851,0.0795,0.0791,0.1009,0.154,0.111,0.0957,0.084,0.0677,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.6766,0.6741,0.669,0.6636,0.688,0.6766,0.6744,0.6073,0.632,0.6109,0.741,0.7059,0.7162,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0616,0.0706,0.0669,0.0676,0.0631,0.0616,0.0611,0.1159,0.1525,0.1022,0.0579,0.1219,0.0613,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.6491,0.6817,0.6653,0.6393,0.7048,0.6491,0.6412,0.5775,0.7248,0.6243,0.7858,0.6058,0.6544,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0972,0.093,0.0949,0.1046,0.0924,0.0972,0.1069,0.1444,0.2097,0.1113,0.1281,0.2082,0.1391,N/A,,,,,,,,,,,,,,,
