,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7458,0.7483,0.7707,0.741,0.791,0.7458,0.7511,0.6,0.8571,0.7059,0.8966,0.6842,0.7761,"{'n_estimators': 346, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}",346.0,3.0,10.0,1.0,log2,True,,,,,,,,,
1,RF,2,0.7212,0.7173,0.72,0.718,0.7241,0.7212,0.722,0.6667,0.7111,0.6882,0.7679,0.7288,0.7478,"{'n_estimators': 239, 'max_depth': 16, 'min_samples_split': 11, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True}",239.0,16.0,11.0,10.0,,True,,,,,,,,,
2,RF,3,0.6588,0.6492,0.6451,0.6463,0.6558,0.6588,0.6565,0.6061,0.5556,0.5797,0.6923,0.7347,0.7129,"{'n_estimators': 335, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': False}",335.0,4.0,19.0,4.0,sqrt,False,,,,,,,,,
3,RF,4,0.6515,0.6519,0.6456,0.6449,0.6518,0.6515,0.6478,0.65,0.7429,0.6933,0.6538,0.5484,0.5965,"{'n_estimators': 96, 'max_depth': 4, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}",96.0,4.0,4.0,2.0,log2,True,,,,,,,,,
4,RF,5,0.75,0.7946,0.8051,0.7497,0.8527,0.75,0.752,0.5893,1.0,0.7416,1.0,0.6102,0.7579,"{'n_estimators': 200, 'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}",200.0,3.0,9.0,5.0,sqrt,True,,,,,,,,,
5,XGB,1,0.7712,0.7523,0.7638,0.7565,0.779,0.7712,0.7737,0.6596,0.7381,0.6966,0.8451,0.7895,0.8163,"{'n_estimators': 210, 'max_depth': 5, 'learning_rate': 0.06333268775321842, 'subsample': 0.6563696899899051, 'colsample_bytree': 0.9208787923016158, 'min_child_weight': 1, 'gamma': 4.9344346830025865, 'reg_alpha': 1.5444895385933148, 'reg_lambda': 0.3974313630683448}",210.0,5.0,,,,,0.06333268775321842,0.6563696899899051,0.9208787923016158,1.0,4.9344346830025865,1.5444895385933148,0.3974313630683448,,
6,XGB,2,0.6827,0.6786,0.6808,0.6791,0.6858,0.6827,0.6837,0.625,0.6667,0.6452,0.7321,0.6949,0.713,"{'n_estimators': 52, 'max_depth': 12, 'learning_rate': 0.010061749325200124, 'subsample': 0.7344669525919734, 'colsample_bytree': 0.872297182363644, 'min_child_weight': 7, 'gamma': 2.526002997197571, 'reg_alpha': 0.7513789439389166, 'reg_lambda': 1.2350608811222994}",52.0,12.0,,,,,0.010061749325200124,0.7344669525919734,0.872297182363644,7.0,2.526002997197571,0.7513789439389166,1.2350608811222994,,
7,XGB,3,0.6588,0.649,0.6414,0.6428,0.6546,0.6588,0.6544,0.6129,0.5278,0.5672,0.6852,0.7551,0.7184,"{'n_estimators': 103, 'max_depth': 12, 'learning_rate': 0.020907202080940972, 'subsample': 0.6470536886239058, 'colsample_bytree': 0.7039673336162601, 'min_child_weight': 9, 'gamma': 1.3594996332400187, 'reg_alpha': 0.39719554757421643, 'reg_lambda': 1.966441240723168}",103.0,12.0,,,,,0.020907202080940972,0.6470536886239058,0.7039673336162601,9.0,1.3594996332400187,0.39719554757421643,1.966441240723168,,
8,XGB,4,0.5909,0.5919,0.5922,0.5908,0.5939,0.5909,0.5912,0.625,0.5714,0.597,0.5588,0.6129,0.5846,"{'n_estimators': 251, 'max_depth': 6, 'learning_rate': 0.018873318726773353, 'subsample': 0.6601060776808159, 'colsample_bytree': 0.6369051996065602, 'min_child_weight': 4, 'gamma': 3.7391826896782745, 'reg_alpha': 0.9295239804325155, 'reg_lambda': 1.6189232675390686}",251.0,6.0,,,,,0.018873318726773353,0.6601060776808159,0.6369051996065602,4.0,3.7391826896782745,0.9295239804325155,1.6189232675390686,,
9,XGB,5,0.7826,0.8113,0.8305,0.7817,0.8646,0.7826,0.7857,0.6226,1.0,0.7674,1.0,0.661,0.7959,"{'n_estimators': 293, 'max_depth': 9, 'learning_rate': 0.01673934073849551, 'subsample': 0.6709501665326023, 'colsample_bytree': 0.6914229286038571, 'min_child_weight': 10, 'gamma': 4.71689757492779, 'reg_alpha': 1.3111460674371955, 'reg_lambda': 0.11217257240961542}",293.0,9.0,,,,,0.01673934073849551,0.6709501665326023,0.6914229286038571,10.0,4.71689757492779,1.3111460674371955,0.11217257240961542,,
10,DT,1,0.7712,0.7541,0.7691,0.7585,0.7832,0.7712,0.7745,0.6531,0.7619,0.7033,0.8551,0.7763,0.8138,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 6, 'max_features': 'log2', 'splitter': 'best'}",,3.0,20.0,6.0,log2,,,,,,,,,entropy,best
11,DT,2,0.6346,0.6424,0.6437,0.6345,0.6533,0.6346,0.6354,0.5614,0.7111,0.6275,0.7234,0.5763,0.6415,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': 'log2', 'splitter': 'random'}",,3.0,16.0,4.0,log2,,,,,,,,,entropy,random
12,DT,3,0.7529,0.7506,0.7562,0.7507,0.7609,0.7529,0.7543,0.6829,0.7778,0.7273,0.8182,0.7347,0.7742,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 5, 'max_features': 'log2', 'splitter': 'random'}",,4.0,17.0,5.0,log2,,,,,,,,,gini,random
13,DT,4,0.5455,0.5413,0.5401,0.5387,0.5427,0.5455,0.5421,0.5641,0.6286,0.5946,0.5185,0.4516,0.4828,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'splitter': 'random'}",,4.0,4.0,1.0,log2,,,,,,,,,gini,random
14,DT,5,0.5652,0.726,0.661,0.5549,0.8035,0.5652,0.5358,0.4521,1.0,0.6226,1.0,0.322,0.4872,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.7055,0.7123,0.7173,0.7,0.7351,0.7055,0.7059,0.6224,0.7733,0.6817,0.8021,0.6613,0.7182,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0473,0.0627,0.0723,0.051,0.087,0.0473,0.0506,0.0339,0.1663,0.0607,0.1443,0.0804,0.0718,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.6972,0.6966,0.7017,0.6902,0.7156,0.6972,0.6977,0.629,0.7008,0.6547,0.7642,0.7027,0.7256,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0802,0.0863,0.0955,0.0791,0.1068,0.0802,0.0821,0.0178,0.1862,0.0799,0.167,0.071,0.0912,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.6539,0.6829,0.674,0.6475,0.7087,0.6539,0.6484,0.5827,0.7759,0.6551,0.783,0.5722,0.6399,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.1043,0.0911,0.0933,0.1043,0.1094,0.1043,0.1132,0.0906,0.1381,0.057,0.1782,0.1905,0.1551,N/A,,,,,,,,,,,,,,,
