,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6707,0.6743,0.6625,0.6612,0.6734,0.6707,0.665,0.6878,0.539,0.6044,0.6608,0.786,0.718,"{'n_estimators': 355, 'max_depth': 3, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}",355.0,3.0,15.0,5.0,sqrt,True,,,,,,,,,
1,RF,2,0.7007,0.7016,0.7136,0.6967,0.7301,0.7007,0.705,0.5816,0.768,0.6619,0.8217,0.6593,0.7316,"{'n_estimators': 494, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",494.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,
2,RF,3,0.6944,0.737,0.7134,0.6904,0.7501,0.6944,0.6868,0.6079,0.9,0.7257,0.866,0.5268,0.6551,"{'n_estimators': 338, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False}",338.0,3.0,19.0,8.0,sqrt,False,,,,,,,,,
3,RF,4,0.7317,0.7481,0.7438,0.7314,0.7585,0.7317,0.7305,0.6516,0.8553,0.7397,0.8445,0.6323,0.7231,"{'n_estimators': 415, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",415.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
4,RF,5,0.7204,0.7114,0.7489,0.7063,0.7837,0.7204,0.7315,0.5264,0.8218,0.6417,0.8964,0.676,0.7708,"{'n_estimators': 440, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",440.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6727,0.6748,0.6654,0.6648,0.6742,0.6727,0.6683,0.6835,0.5563,0.6134,0.6661,0.7746,0.7163,"{'n_estimators': 64, 'max_depth': 3, 'learning_rate': 0.012471002036211792, 'subsample': 0.6932616112871408, 'colsample_bytree': 0.6465255811631712, 'min_child_weight': 10, 'gamma': 4.266811334147473, 'reg_alpha': 0.6194656585631895, 'reg_lambda': 1.8325361427165372}",64.0,3.0,,,,,0.012471002036211792,0.6932616112871408,0.6465255811631712,10.0,4.266811334147473,0.6194656585631895,1.8325361427165372,,
6,XGB,2,0.666,0.6592,0.668,0.6583,0.685,0.666,0.6704,0.5506,0.6768,0.6072,0.7679,0.6593,0.7094,"{'n_estimators': 56, 'max_depth': 3, 'learning_rate': 0.01865366775523776, 'subsample': 0.6004421307827129, 'colsample_bytree': 0.8590737826810199, 'min_child_weight': 9, 'gamma': 4.389561086153472, 'reg_alpha': 0.7913723036191707, 'reg_lambda': 1.479889351568431}",56.0,3.0,,,,,0.01865366775523776,0.6004421307827129,0.8590737826810199,9.0,4.389561086153472,0.7913723036191707,1.479889351568431,,
7,XGB,3,0.6988,0.735,0.7163,0.6958,0.7474,0.6988,0.6928,0.6138,0.8878,0.7258,0.8562,0.5447,0.6659,"{'n_estimators': 351, 'max_depth': 3, 'learning_rate': 0.01246540945289984, 'subsample': 0.6849233976897126, 'colsample_bytree': 0.8893978578232434, 'min_child_weight': 6, 'gamma': 0.5252629430658922, 'reg_alpha': 1.8147610098208, 'reg_lambda': 1.5246531216365855}",351.0,3.0,,,,,0.01246540945289984,0.6849233976897126,0.8893978578232434,6.0,0.5252629430658922,1.8147610098208,1.5246531216365855,,
8,XGB,4,0.717,0.7306,0.728,0.7169,0.7403,0.717,0.7162,0.6412,0.8289,0.7231,0.8201,0.627,0.7106,"{'n_estimators': 70, 'max_depth': 3, 'learning_rate': 0.01431941275668215, 'subsample': 0.9486874886875832, 'colsample_bytree': 0.8216684447044692, 'min_child_weight': 9, 'gamma': 1.20712907545937, 'reg_alpha': 1.7290880684098304, 'reg_lambda': 0.8921353311585193}",70.0,3.0,,,,,0.01431941275668215,0.9486874886875832,0.8216684447044692,9.0,1.20712907545937,1.7290880684098304,0.8921353311585193,,
9,XGB,5,0.7237,0.7041,0.7378,0.7049,0.7714,0.7237,0.734,0.532,0.7739,0.6306,0.8763,0.7016,0.7793,"{'n_estimators': 129, 'max_depth': 4, 'learning_rate': 0.020801561795383467, 'subsample': 0.9028038624434046, 'colsample_bytree': 0.8965633392902311, 'min_child_weight': 8, 'gamma': 3.9214579826410896, 'reg_alpha': 1.4333717162701372, 'reg_lambda': 1.5953024361073307}",129.0,4.0,,,,,0.020801561795383467,0.9028038624434046,0.8965633392902311,8.0,3.9214579826410896,1.4333717162701372,1.5953024361073307,,
10,DT,1,0.6364,0.6497,0.6226,0.6124,0.6477,0.6364,0.6189,0.6809,0.4156,0.5161,0.6186,0.8295,0.7087,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'splitter': 'best'}",,2.0,20.0,10.0,sqrt,,,,,,,,,gini,best
11,DT,2,0.6607,0.655,0.6638,0.6535,0.6812,0.6607,0.6653,0.5444,0.6768,0.6034,0.7655,0.6508,0.7035,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",,4.0,14.0,7.0,log2,,,,,,,,,gini,best
12,DT,3,0.6769,0.7118,0.6944,0.6736,0.7236,0.6769,0.6702,0.5966,0.8659,0.7065,0.827,0.5229,0.6407,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 17, 'min_samples_leaf': 4, 'max_features': None, 'splitter': 'best'}",,2.0,17.0,4.0,,,,,,,,,,gini,best
