,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6093,0.6258,0.6269,0.6092,0.6452,0.6093,0.6101,0.7344,0.5281,0.6144,0.5172,0.7258,0.604,"{'n_estimators': 430, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",430.0,3.0,16.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.7472,0.6947,0.7289,0.7038,0.7791,0.7472,0.7573,0.5158,0.6901,0.5904,0.8736,0.7677,0.8172,"{'n_estimators': 490, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': True}",490.0,3.0,16.0,9.0,sqrt,True,,,,,,,,,
2,RF,3,0.6857,0.6848,0.6879,0.6841,0.6928,0.6857,0.687,0.6232,0.7049,0.6615,0.7465,0.6709,0.7067,"{'n_estimators': 421, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",421.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,
3,RF,4,0.7167,0.7264,0.7431,0.7137,0.7667,0.7167,0.7216,0.5769,0.8411,0.6844,0.8759,0.6452,0.743,"{'n_estimators': 151, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}",151.0,5.0,6.0,4.0,,True,,,,,,,,,
4,RF,5,0.7194,0.7269,0.7284,0.7193,0.737,0.7194,0.7198,0.6449,0.8023,0.715,0.809,0.6545,0.7236,"{'n_estimators': 415, 'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': False}",415.0,3.0,9.0,10.0,log2,False,,,,,,,,,
5,XGB,1,0.5828,0.6094,0.6069,0.5825,0.6299,0.5828,0.5805,0.7241,0.4719,0.5714,0.4946,0.7419,0.5935,"{'n_estimators': 249, 'max_depth': 3, 'learning_rate': 0.016708003812446602, 'subsample': 0.8103911137799223, 'colsample_bytree': 0.7470676829306553, 'min_child_weight': 6, 'gamma': 2.938239827092396, 'reg_alpha': 1.2549048546376642, 'reg_lambda': 1.3273883570173342}",249.0,3.0,,,,,0.016708003812446602,0.8103911137799223,0.7470676829306553,6.0,2.938239827092396,1.2549048546376642,1.3273883570173342,,
6,XGB,2,0.7658,0.7049,0.7235,0.7123,0.7786,0.7658,0.7709,0.5488,0.6338,0.5882,0.861,0.8131,0.8364,"{'n_estimators': 492, 'max_depth': 11, 'learning_rate': 0.015542761479374497, 'subsample': 0.8856138622484423, 'colsample_bytree': 0.8464631346715896, 'min_child_weight': 5, 'gamma': 4.0839011080785985, 'reg_alpha': 1.3555079376366408, 'reg_lambda': 0.26433655431405034}",492.0,11.0,,,,,0.015542761479374497,0.8856138622484423,0.8464631346715896,5.0,4.0839011080785985,1.3555079376366408,0.26433655431405034,,
7,XGB,3,0.6857,0.6848,0.6879,0.6841,0.6928,0.6857,0.687,0.6232,0.7049,0.6615,0.7465,0.6709,0.7067,"{'n_estimators': 297, 'max_depth': 7, 'learning_rate': 0.012999410863243651, 'subsample': 0.7874018056689758, 'colsample_bytree': 0.6210404521420568, 'min_child_weight': 6, 'gamma': 4.7180280790171905, 'reg_alpha': 1.54862042089474, 'reg_lambda': 1.7633596247163466}",297.0,7.0,,,,,0.012999410863243651,0.7874018056689758,0.6210404521420568,6.0,4.7180280790171905,1.54862042089474,1.7633596247163466,,
8,XGB,4,0.7304,0.75,0.7658,0.7288,0.7944,0.7304,0.7343,0.5854,0.8972,0.7085,0.9147,0.6344,0.7492,"{'n_estimators': 238, 'max_depth': 3, 'learning_rate': 0.02278200703758067, 'subsample': 0.7723917796530066, 'colsample_bytree': 0.6273941927709256, 'min_child_weight': 7, 'gamma': 4.741149102173437, 'reg_alpha': 1.8464940742296774, 'reg_lambda': 1.681636743672886}",238.0,3.0,,,,,0.02278200703758067,0.7723917796530066,0.6273941927709256,7.0,4.741149102173437,1.8464940742296774,1.681636743672886,,
9,XGB,5,0.7398,0.7392,0.7428,0.7386,0.7464,0.7398,0.7408,0.6804,0.7674,0.7213,0.798,0.7182,0.756,"{'n_estimators': 295, 'max_depth': 4, 'learning_rate': 0.014582848305321899, 'subsample': 0.6194691670661633, 'colsample_bytree': 0.9037693813739182, 'min_child_weight': 8, 'gamma': 3.2069691686723467, 'reg_alpha': 1.4771437221594774, 'reg_lambda': 1.67035670703408}",295.0,4.0,,,,,0.014582848305321899,0.6194691670661633,0.9037693813739182,8.0,3.2069691686723467,1.4771437221594774,1.67035670703408,,
