,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7479,0.7337,0.7556,0.7363,0.7741,0.7479,0.7535,0.6038,0.7805,0.6809,0.8636,0.7308,0.7917,"{'n_estimators': 434, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 9, 'max_features': None, 'bootstrap': True}",434.0,4.0,15.0,9.0,,True,,,,,,,,,
1,RF,2,0.711,0.7071,0.7131,0.7072,0.7206,0.711,0.7131,0.6298,0.7251,0.6741,0.7844,0.7011,0.7404,"{'n_estimators': 213, 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",213.0,5.0,16.0,10.0,sqrt,False,,,,,,,,,
2,RF,3,0.6877,0.7135,0.6954,0.6829,0.7178,0.6877,0.681,0.801,0.5385,0.644,0.626,0.8524,0.7219,"{'n_estimators': 456, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",456.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
3,RF,4,0.8094,0.8123,0.8346,0.8066,0.8476,0.8094,0.8126,0.6761,0.932,0.7837,0.9485,0.7371,0.8296,"{'n_estimators': 450, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",450.0,3.0,17.0,9.0,sqrt,False,,,,,,,,,
4,RF,5,0.6571,0.6565,0.6568,0.6566,0.6576,0.6571,0.6573,0.6353,0.6506,0.6429,0.6778,0.663,0.6703,"{'n_estimators': 259, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True}",259.0,3.0,18.0,7.0,,True,,,,,,,,,
5,XGB,1,0.7412,0.7248,0.7447,0.728,0.7641,0.7412,0.7466,0.5985,0.7561,0.6681,0.8512,0.7333,0.7879,"{'n_estimators': 78, 'max_depth': 3, 'learning_rate': 0.011636433849192348, 'subsample': 0.8196426949749341, 'colsample_bytree': 0.8984951405514155, 'min_child_weight': 2, 'gamma': 0.5709971204121291, 'reg_alpha': 0.39300031806506247, 'reg_lambda': 1.9873558672056149}",78.0,3.0,,,,,0.011636433849192348,0.8196426949749341,0.8984951405514155,2.0,0.5709971204121291,0.39300031806506247,1.9873558672056149,,
6,XGB,2,0.7455,0.7407,0.7472,0.7417,0.7532,0.7455,0.7472,0.669,0.757,0.7103,0.8123,0.7374,0.7731,"{'n_estimators': 70, 'max_depth': 3, 'learning_rate': 0.040820310099636783, 'subsample': 0.7684634415156659, 'colsample_bytree': 0.6322384070583172, 'min_child_weight': 6, 'gamma': 1.3888664805062205, 'reg_alpha': 0.39880669694380166, 'reg_lambda': 1.6396083571733935}",70.0,3.0,,,,,0.040820310099636783,0.7684634415156659,0.6322384070583172,6.0,1.3888664805062205,0.39880669694380166,1.6396083571733935,,
7,XGB,3,0.7123,0.7404,0.7201,0.7079,0.7451,0.7123,0.7061,0.8358,0.5619,0.672,0.645,0.8782,0.7438,"{'n_estimators': 66, 'max_depth': 3, 'learning_rate': 0.03674149273480721, 'subsample': 0.977070927658607, 'colsample_bytree': 0.9676272424936648, 'min_child_weight': 4, 'gamma': 1.3149375016066696, 'reg_alpha': 1.854384954239987, 'reg_lambda': 0.45839874125781044}",66.0,3.0,,,,,0.03674149273480721,0.977070927658607,0.9676272424936648,4.0,1.3149375016066696,1.854384954239987,0.45839874125781044,,
8,XGB,4,0.8076,0.8179,0.8392,0.8058,0.8571,0.8076,0.8106,0.6667,0.9612,0.7873,0.9691,0.7171,0.8243,"{'n_estimators': 58, 'max_depth': 3, 'learning_rate': 0.033333718342160215, 'subsample': 0.7762023047390397, 'colsample_bytree': 0.6388303087511908, 'min_child_weight': 5, 'gamma': 1.441492055462327, 'reg_alpha': 0.7845429615512811, 'reg_lambda': 0.6587074610054906}",58.0,3.0,,,,,0.033333718342160215,0.7762023047390397,0.6388303087511908,5.0,1.441492055462327,0.7845429615512811,0.6587074610054906,,
9,XGB,5,0.661,0.6602,0.6583,0.6584,0.6605,0.661,0.6599,0.6537,0.6064,0.6292,0.6667,0.7101,0.6877,"{'n_estimators': 364, 'max_depth': 9, 'learning_rate': 0.20781461336599077, 'subsample': 0.9808739411833973, 'colsample_bytree': 0.744122606817712, 'min_child_weight': 2, 'gamma': 2.7185785315532267, 'reg_alpha': 1.88547576016642, 'reg_lambda': 0.4136483570831707}",364.0,9.0,,,,,0.20781461336599077,0.9808739411833973,0.744122606817712,2.0,2.7185785315532267,1.88547576016642,0.4136483570831707,,
10,DT,1,0.7529,0.7371,0.7583,0.7406,0.7762,0.7529,0.7582,0.6115,0.7756,0.6839,0.8627,0.741,0.7972,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 17, 'min_samples_leaf': 2, 'max_features': None, 'splitter': 'best'}",,2.0,17.0,2.0,,,,,,,,,,entropy,best
11,DT,2,0.6732,0.7027,0.6988,0.6731,0.726,0.6732,0.6717,0.5699,0.8446,0.6806,0.8354,0.5531,0.6655,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': None, 'splitter': 'best'}",,1.0,5.0,10.0,,,,,,,,,,gini,best
12,DT,3,0.6789,0.708,0.6872,0.673,0.7125,0.6789,0.6708,0.799,0.5184,0.6288,0.617,0.8561,0.7172,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 17, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'best'}",,1.0,17.0,8.0,log2,,,,,,,,,gini,best
13,DT,4,0.7554,0.7798,0.7937,0.7546,0.8238,0.7554,0.7582,0.6101,0.9417,0.7405,0.9496,0.6457,0.7687,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'random'}",,3.0,17.0,7.0,log2,,,,,,,,,entropy,random
14,DT,5,0.6114,0.6246,0.6179,0.608,0.6275,0.6114,0.6061,0.5692,0.743,0.6446,0.68,0.4928,0.5714,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'best'}",,3.0,2.0,9.0,log2,,,,,,,,,entropy,best
15,RF,MEAN,0.7226,0.7246,0.7311,0.7179,0.7435,0.7226,0.7235,0.6692,0.7253,0.6851,0.7801,0.7369,0.7508,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0588,0.0567,0.0679,0.0577,0.0713,0.0588,0.0615,0.0781,0.1468,0.0577,0.1319,0.0709,0.0619,N/A,,,,,,,,,,,,,,,
