,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7167,0.7193,0.7203,0.7166,0.7237,0.7167,0.717,0.6667,0.7636,0.7119,0.7719,0.6769,0.7213,"{'n_estimators': 51, 'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}",51.0,7.0,8.0,2.0,sqrt,True,,,,,,,,,
1,RF,2,0.7664,0.7441,0.7338,0.7382,0.7628,0.7664,0.7639,0.6818,0.625,0.6522,0.8065,0.8427,0.8242,"{'n_estimators': 182, 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",182.0,4.0,14.0,4.0,log2,True,,,,,,,,,
2,RF,3,0.6022,0.629,0.6153,0.5954,0.6351,0.6022,0.5915,0.7097,0.44,0.5432,0.5484,0.7907,0.6476,"{'n_estimators': 183, 'max_depth': 8, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",183.0,8.0,4.0,4.0,log2,True,,,,,,,,,
3,RF,4,0.6389,0.6742,0.6758,0.6389,0.7125,0.6389,0.6397,0.5152,0.8293,0.6355,0.8333,0.5224,0.6422,"{'n_estimators': 480, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True}",480.0,20.0,4.0,8.0,,True,,,,,,,,,
4,RF,5,0.704,0.6925,0.7093,0.6927,0.7313,0.704,0.7101,0.5614,0.7273,0.6337,0.8235,0.6914,0.7517,"{'n_estimators': 162, 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': True}",162.0,9.0,10.0,5.0,,True,,,,,,,,,
5,XGB,1,0.7083,0.71,0.7112,0.7082,0.714,0.7083,0.7088,0.6613,0.7455,0.7009,0.7586,0.6769,0.7154,"{'n_estimators': 364, 'max_depth': 7, 'learning_rate': 0.16836582709960018, 'subsample': 0.8029727555176784, 'colsample_bytree': 0.9937737839896574, 'min_child_weight': 7, 'gamma': 4.584058763872509, 'reg_alpha': 1.1891848186598117, 'reg_lambda': 0.9292368728826557}",364.0,7.0,,,,,0.16836582709960018,0.8029727555176784,0.9937737839896574,7.0,4.584058763872509,1.1891848186598117,0.9292368728826557,,
6,XGB,2,0.7956,0.7899,0.7467,0.7596,0.7935,0.7956,0.7875,0.7778,0.5833,0.6667,0.802,0.9101,0.8526,"{'n_estimators': 374, 'max_depth': 3, 'learning_rate': 0.04758609236713394, 'subsample': 0.9218511525034684, 'colsample_bytree': 0.9700505870963767, 'min_child_weight': 3, 'gamma': 4.863266616364576, 'reg_alpha': 1.4785243936169097, 'reg_lambda': 1.316855768237158}",374.0,3.0,,,,,0.04758609236713394,0.9218511525034684,0.9700505870963767,3.0,4.863266616364576,1.4785243936169097,1.316855768237158,,
7,XGB,3,0.6452,0.6705,0.657,0.641,0.677,0.6452,0.6381,0.7576,0.5,0.6024,0.5833,0.814,0.6796,"{'n_estimators': 218, 'max_depth': 12, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'min_child_weight': 2, 'gamma': 0.2904180608409973, 'reg_alpha': 1.7323522915498704, 'reg_lambda': 1.2022300234864176}",218.0,12.0,,,,,0.1205712628744377,0.8394633936788146,0.6624074561769746,2.0,0.2904180608409973,1.7323522915498704,1.2022300234864176,,
8,XGB,4,0.6481,0.673,0.6786,0.6477,0.7089,0.6481,0.6508,0.5238,0.8049,0.6346,0.8222,0.5522,0.6607,"{'n_estimators': 174, 'max_depth': 12, 'learning_rate': 0.07977155155378868, 'subsample': 0.8578259184409539, 'colsample_bytree': 0.7076720861113971, 'min_child_weight': 5, 'gamma': 2.851248034085208, 'reg_alpha': 0.5919126547522653, 'reg_lambda': 1.1824781958180253}",174.0,12.0,,,,,0.07977155155378868,0.8578259184409539,0.7076720861113971,5.0,2.851248034085208,0.5919126547522653,1.1824781958180253,,
9,XGB,5,0.72,0.7319,0.7528,0.7164,0.7806,0.72,0.7258,0.5672,0.8636,0.6847,0.8966,0.642,0.7482,"{'n_estimators': 281, 'max_depth': 8, 'learning_rate': 0.011711509955524094, 'subsample': 0.8430179407605753, 'colsample_bytree': 0.6682096494749166, 'min_child_weight': 1, 'gamma': 4.7444276862666666, 'reg_alpha': 1.9312640661491187, 'reg_lambda': 1.6167946962329223}",281.0,8.0,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
