,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6398,0.6532,0.6454,0.6368,0.6559,0.6398,0.6352,0.7116,0.524,0.6036,0.5948,0.7669,0.67,0.7282,"{'n_estimators': 110, 'max_depth': 5, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",110.0,5.0,20.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.6382,0.6324,0.625,0.6251,0.6349,0.6382,0.633,0.6102,0.509,0.555,0.6546,0.7411,0.6951,0.634,"{'n_estimators': 432, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",432.0,4.0,19.0,9.0,sqrt,False,,,,,,,,,
2,RF,3,0.7039,0.707,0.6693,0.6713,0.7058,0.7039,0.6894,0.7138,0.4711,0.5676,0.7003,0.8674,0.7749,0.7985,"{'n_estimators': 480, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",480.0,4.0,19.0,10.0,sqrt,False,,,,,,,,,
3,RF,4,0.7728,0.7526,0.7731,0.758,0.7899,0.7728,0.7772,0.6361,0.7738,0.6982,0.8691,0.7723,0.8179,0.8088,"{'n_estimators': 65, 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': True}",65.0,4.0,14.0,9.0,sqrt,True,,,,,,,,,
4,RF,5,0.7209,0.7027,0.7198,0.7056,0.7421,0.7209,0.7265,0.576,0.7163,0.6386,0.8293,0.7233,0.7727,0.8065,"{'n_estimators': 111, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",111.0,6.0,7.0,4.0,log2,True,,,,,,,,,
5,XGB,1,0.6649,0.6789,0.6704,0.6623,0.6818,0.6649,0.6609,0.7419,0.5514,0.6326,0.6158,0.7895,0.6919,0.7464,"{'n_estimators': 87, 'max_depth': 3, 'learning_rate': 0.03149733449941491, 'subsample': 0.8570552384294298, 'colsample_bytree': 0.7090156595897537, 'min_child_weight': 4, 'gamma': 4.686462164284994, 'reg_alpha': 1.3330098976000608, 'reg_lambda': 0.6202965191549846}",87.0,3.0,,,,,0.03149733449941491,0.8570552384294298,0.7090156595897537,4.0,4.686462164284994,1.3330098976000608,0.6202965191549846,,
6,XGB,2,0.6233,0.6165,0.6128,0.6131,0.6201,0.6233,0.6202,0.5844,0.5202,0.5504,0.6486,0.7054,0.6758,0.6356,"{'n_estimators': 73, 'max_depth': 3, 'learning_rate': 0.024690770407924445, 'subsample': 0.9722697108153576, 'colsample_bytree': 0.7535444598091665, 'min_child_weight': 7, 'gamma': 2.505532940364852, 'reg_alpha': 1.3883720880628525, 'reg_lambda': 1.4770381695919326}",73.0,3.0,,,,,0.024690770407924445,0.9722697108153576,0.7535444598091665,7.0,2.505532940364852,1.3883720880628525,1.4770381695919326,,
7,XGB,3,0.7296,0.7261,0.706,0.7102,0.7279,0.7296,0.7234,0.7159,0.5711,0.6354,0.7363,0.8409,0.7851,0.7979,"{'n_estimators': 188, 'max_depth': 3, 'learning_rate': 0.026025129159598922, 'subsample': 0.8004551408328917, 'colsample_bytree': 0.9978168365346297, 'min_child_weight': 6, 'gamma': 0.021345958158534906, 'reg_alpha': 0.6326406438301737, 'reg_lambda': 1.9972818651185718}",188.0,3.0,,,,,0.026025129159598922,0.8004551408328917,0.9978168365346297,6.0,0.021345958158534906,0.6326406438301737,1.9972818651185718,,
8,XGB,4,0.7361,0.7077,0.7142,0.7105,0.7409,0.7361,0.7381,0.6043,0.6459,0.6244,0.8112,0.7825,0.7966,0.7932,"{'n_estimators': 125, 'max_depth': 3, 'learning_rate': 0.024889051296659005, 'subsample': 0.8350962500532505, 'colsample_bytree': 0.9278635897630921, 'min_child_weight': 10, 'gamma': 1.6709861694215105, 'reg_alpha': 1.4893750164482462, 'reg_lambda': 0.3293420605402661}",125.0,3.0,,,,,0.024889051296659005,0.8350962500532505,0.9278635897630921,10.0,1.6709861694215105,1.4893750164482462,0.3293420605402661,,
9,XGB,5,0.7046,0.6847,0.6995,0.6875,0.7242,0.7046,0.7103,0.5579,0.6832,0.6142,0.8115,0.7159,0.7607,0.7926,"{'n_estimators': 243, 'max_depth': 4, 'learning_rate': 0.01973613940712813, 'subsample': 0.6296086227097902, 'colsample_bytree': 0.7123309056025083, 'min_child_weight': 8, 'gamma': 3.891701522639095, 'reg_alpha': 1.9949396569619464, 'reg_lambda': 1.0810288251589864}",243.0,4.0,,,,,0.01973613940712813,0.6296086227097902,0.7123309056025083,8.0,3.891701522639095,1.9949396569619464,1.0810288251589864,,
