,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6977,0.6651,0.6703,0.6673,0.7031,0.6977,0.7,0.5484,0.5862,0.5667,0.7818,0.7544,0.7679,0.706,"{'n_estimators': 369, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",369.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.7035,0.7001,0.6984,0.699,0.7026,0.7035,0.7028,0.6757,0.6494,0.6623,0.7245,0.7474,0.7358,0.7725,"{'n_estimators': 443, 'max_depth': 16, 'min_samples_split': 17, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True}",443.0,16.0,17.0,10.0,,True,,,,,,,,,
2,RF,3,0.6923,0.6935,0.6821,0.6826,0.6931,0.6923,0.6877,0.6981,0.5692,0.6271,0.6889,0.7949,0.7381,0.7868,"{'n_estimators': 385, 'max_depth': 13, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",385.0,13.0,19.0,4.0,sqrt,True,,,,,,,,,
3,RF,4,0.6641,0.6647,0.6515,0.6507,0.6645,0.6641,0.6571,0.6667,0.5172,0.5825,0.6627,0.7857,0.719,0.7552,"{'n_estimators': 478, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': True}",478.0,3.0,17.0,10.0,sqrt,True,,,,,,,,,
4,RF,5,0.6901,0.6865,0.699,0.6838,0.7168,0.6901,0.695,0.5663,0.7344,0.6395,0.8068,0.6636,0.7282,0.8125,"{'n_estimators': 137, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': False}",137.0,3.0,18.0,9.0,log2,False,,,,,,,,,
5,XGB,1,0.6744,0.6304,0.6231,0.6258,0.6667,0.6744,0.6697,0.5192,0.4655,0.4909,0.7417,0.7807,0.7607,0.693,"{'n_estimators': 394, 'max_depth': 3, 'learning_rate': 0.08083530918821243, 'subsample': 0.8473532633240896, 'colsample_bytree': 0.7458111555316428, 'min_child_weight': 3, 'gamma': 4.760648919578192, 'reg_alpha': 1.508511875389319, 'reg_lambda': 1.6770950636493918}",394.0,3.0,,,,,0.08083530918821243,0.8473532633240896,0.7458111555316428,3.0,4.760648919578192,1.508511875389319,1.6770950636493918,,
6,XGB,2,0.7035,0.7014,0.6947,0.696,0.7024,0.7035,0.701,0.6912,0.6104,0.6483,0.7115,0.7789,0.7437,0.7765,"{'n_estimators': 136, 'max_depth': 10, 'learning_rate': 0.01668876315404473, 'subsample': 0.9267245105098261, 'colsample_bytree': 0.9571281291727729, 'min_child_weight': 8, 'gamma': 1.9658059690028167, 'reg_alpha': 1.8464940742296774, 'reg_lambda': 0.7077455881656091}",136.0,10.0,,,,,0.01668876315404473,0.9267245105098261,0.9571281291727729,8.0,1.9658059690028167,1.8464940742296774,0.7077455881656091,,
7,XGB,3,0.6294,0.6272,0.6167,0.6146,0.6279,0.6294,0.6215,0.62,0.4769,0.5391,0.6344,0.7564,0.6901,0.7325,"{'n_estimators': 435, 'max_depth': 7, 'learning_rate': 0.2040088380089359, 'subsample': 0.8399640366623328, 'colsample_bytree': 0.9703042658182405, 'min_child_weight': 3, 'gamma': 4.065456897482467, 'reg_alpha': 0.3618685409673481, 'reg_lambda': 1.0319917584438292}",435.0,7.0,,,,,0.2040088380089359,0.8399640366623328,0.9703042658182405,3.0,4.065456897482467,0.3618685409673481,1.0319917584438292,,
8,XGB,4,0.6875,0.6977,0.6714,0.6693,0.6952,0.6875,0.6766,0.725,0.5,0.5918,0.6705,0.8429,0.7468,0.7517,"{'n_estimators': 131, 'max_depth': 7, 'learning_rate': 0.01871913635332185, 'subsample': 0.7490914921434733, 'colsample_bytree': 0.7723754461877381, 'min_child_weight': 10, 'gamma': 4.512213330989459, 'reg_alpha': 1.999223021722317, 'reg_lambda': 0.3501700811586175}",131.0,7.0,,,,,0.01871913635332185,0.7490914921434733,0.7723754461877381,10.0,4.512213330989459,1.999223021722317,0.3501700811586175,,
9,XGB,5,0.6784,0.6654,0.6739,0.6667,0.6919,0.6784,0.6824,0.56,0.6562,0.6043,0.7708,0.6916,0.7291,0.7779,"{'n_estimators': 235, 'max_depth': 4, 'learning_rate': 0.011713992616705214, 'subsample': 0.9636967051135212, 'colsample_bytree': 0.8359212951404179, 'min_child_weight': 10, 'gamma': 4.3371831345741985, 'reg_alpha': 1.8524792428666879, 'reg_lambda': 0.15786015719805807}",235.0,4.0,,,,,0.011713992616705214,0.9636967051135212,0.8359212951404179,10.0,4.3371831345741985,1.8524792428666879,0.15786015719805807,,
